env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,
500,,,242.1311,483.4608,1086.411,242.1311,0.244,0.6259,0.0002,,,
1000,,,212.534,424.9551,2465.2043,212.534,0.2531,1.6144,0.0002,,,
1000,,,,,,,,,,1000,-206.4258,65.7204
1500,,,301.9859,604.3039,3395.4922,301.9859,0.3376,1.6244,0.0566,,,
2000,,,328.8926,658.2752,1933.8895,328.8926,0.3599,2.6374,0.0775,,,
2000,,,,,,,,,,1000,-378.3423,92.6477
2500,,,388.45,777.1432,2511.0549,388.45,0.4552,4.4052,0.1426,,,
3000,,,386.9477,773.9951,4342.7388,386.9477,0.4195,3.7266,0.1723,,,
3000,,,,,,,,,,1000,-290.0379,96.1603
3500,,,435.29,870.3299,6885.8965,435.29,0.4881,6.9789,0.3122,,,
4000,,,457.2307,913.5717,6247.5557,457.2307,0.5013,7.3102,0.2982,,,
4000,,,,,,,,,,1000,-248.4479,92.5097
4500,,,541.2592,1081.3027,6538.6489,541.2592,0.5784,6.2572,0.3448,,,
5000,,,566.943,1132.4521,8302.4453,566.943,0.573,9.9988,0.5074,,,
5000,-330.2542,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-219.2189,75.9201
5500,,,639.7858,1277.0126,11754.5254,639.7858,0.5693,11.5348,0.5664,,,
6000,,,614.3759,1225.8275,8921.0566,614.3759,0.628,10.6785,1.071,,,
6000,,,,,,,,,,1000,-185.9984,93.9797
6500,,,641.2336,1278.0217,11433.0234,641.2336,0.6695,13.3694,0.6634,,,
7000,,,694.8217,1384.0219,15481.8535,694.8217,0.796,14.7343,0.6788,,,
7000,,,,,,,,,,1000,505.2887,92.7744
7500,,,663.9279,1320.4531,11430.1865,663.9279,0.7478,15.7357,0.8722,,,
8000,,,691.4216,1372.4447,11533.999,691.4216,0.8083,17.4533,0.9653,,,
8000,,,,,,,,,,1000,577.2409,92.6738
8500,,,694.3264,1378.696,14854.9512,694.3264,0.7458,23.5844,1.2118,,,
9000,,,708.4135,1405.3232,18844.0,708.4135,0.7726,19.1082,0.791,,,
9000,,,,,,,,,,1000,-220.0359,96.7502
9500,,,718.521,1423.9003,19930.4824,718.521,0.7937,24.9504,1.6439,,,
10000,,,701.3386,1388.7047,22271.4941,701.3386,0.9096,42.3157,1.8201,,,
10000,1127.5678,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,508.001,78.8473
10500,,,665.8849,1314.6066,16562.5449,665.8849,0.8993,16.5503,1.0678,,,
11000,,,681.1804,1344.7604,19848.877,681.1804,0.9527,32.2012,0.8729,,,
11000,,,,,,,,,,1000,736.1619,94.924
11500,,,716.6973,1412.4192,18846.707,716.6973,0.9369,20.9712,1.3804,,,
12000,,,700.8676,1380.4149,19195.0391,700.8676,1.0694,56.6964,1.7485,,,
12000,,,,,,,,,,1000,746.3265,92.9964
12500,,,655.3831,1285.9744,29698.5098,655.3831,0.9724,19.8216,1.2703,,,
13000,,,703.9523,1381.4316,18983.6797,703.9523,1.0249,23.6807,1.7129,,,
13000,,,,,,,,,,1000,897.2523,96.6742
13500,,,700.9889,1373.0347,27290.8027,700.9889,1.0381,36.5943,1.6231,,,
14000,,,650.6823,1270.0914,19348.5039,650.6823,1.1191,46.7453,1.3288,,,
14000,,,,,,,,,,1000,1247.269,98.705
14500,,,701.6179,1370.097,29214.2539,701.6179,1.2493,43.47,1.7977,,,
15000,,,677.1717,1318.016,24393.377,677.1717,1.2438,37.4743,1.7504,,,
15000,2419.3772,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,1206.856,79.4019
15500,,,650.755,1262.0063,29556.1445,650.755,1.3742,39.8516,1.4492,,,
16000,,,649.0842,1255.2197,19495.916,649.0842,1.3052,23.7758,1.6356,,,
16000,,,,,,,,,,1000,1372.5972,96.3156
16500,,,669.5469,1294.6334,24652.7207,669.5469,1.4202,45.0949,2.594,,,
17000,,,638.1993,1228.8219,29082.9883,638.1993,1.3746,37.1403,1.6781,,,
17000,,,,,,,,,,1000,1593.5989,92.9257
17500,,,632.3735,1212.5553,27516.041,632.3735,1.5549,70.0807,1.6345,,,
18000,,,639.7754,1224.5118,30825.4121,639.7754,1.6042,72.9846,1.498,,,
18000,,,,,,,,,,1000,1629.3411,95.1396
18500,,,619.8785,1183.2932,33937.9102,619.8785,1.5858,44.9957,2.2681,,,
19000,,,607.7306,1152.881,22894.9863,607.7306,1.7629,93.2735,2.7236,,,
19000,,,,,,,,,,1000,1684.5838,92.6424
19500,,,613.3625,1163.9015,30841.334,613.3625,1.7482,29.8967,2.5081,,,
20000,,,594.3444,1122.7804,34640.7266,594.3444,1.6092,59.9348,1.9525,,,
20000,3300.1665,1000.0,,,,,,,,,,
20000,,,,,,,,,,1000,1738.9163,78.9793
20500,,,641.73,1213.069,29179.6035,641.73,1.7235,43.0706,2.271,,,
21000,,,588.4019,1101.5664,27084.0215,588.4019,1.8525,105.3372,2.2181,,,
21000,,,,,,,,,,1000,1766.0229,92.3791
21500,,,609.6702,1141.8566,39854.8125,609.6702,1.8514,51.9086,2.6911,,,
22000,,,620.34,1160.5331,32707.2891,620.34,2.0799,70.2123,4.207,,,
22000,,,,,,,,,,1000,1643.922,94.2476
22500,,,591.2884,1098.2426,29382.1504,591.2884,2.1031,66.079,3.3078,,,
23000,,,607.3691,1128.2258,41026.125,607.3691,1.9139,87.5938,2.7276,,,
23000,,,,,,,,,,1000,2048.6397,95.6265
23500,,,602.3527,1112.6836,34556.3672,602.3527,1.9261,52.9507,2.0608,,,
24000,,,586.7649,1075.7993,29334.375,586.7649,2.1532,65.0906,4.976,,,
24000,,,,,,,,,,1000,2058.7236,95.0004
24500,,,602.8044,1105.5051,44273.3008,602.8044,1.9801,52.0516,2.4544,,,
25000,,,637.5502,1175.1351,40588.9297,637.5502,2.1906,87.3644,3.212,,,
25000,3831.8188,1000.0,,,,,,,,,,
25000,,,,,,,,,,1000,1995.8326,78.8629
25500,,,599.8892,1092.0343,34251.1445,599.8892,2.0975,118.4653,3.739,,,
26000,,,592.2999,1074.2305,37593.2422,592.2999,2.1577,114.7066,1.9034,,,
26000,,,,,,,,,,1000,2055.44,92.3457
26500,,,572.6342,1029.5266,31359.4727,572.6342,2.1965,57.3196,3.6882,,,
27000,,,614.3654,1111.6521,51388.1758,614.3654,2.4818,102.3801,2.9911,,,
27000,,,,,,,,,,1000,2302.0673,92.6356
27500,,,569.1229,1017.7504,34580.9727,569.1229,2.2528,131.8444,2.3047,,,
28000,,,591.8984,1062.7013,31390.5039,591.8984,2.3699,52.308,2.5773,,,
28000,,,,,,,,,,1000,1652.3541,92.2607
28500,,,562.6547,998.6591,36088.8438,562.6547,2.509,82.6868,2.6569,,,
29000,,,614.6625,1101.9652,40498.6758,614.6625,2.7097,71.8818,4.2122,,,
29000,,,,,,,,,,1000,2187.9034,92.2894
29500,,,617.5513,1105.5741,38746.1133,617.5513,2.1297,42.3271,3.2653,,,
30000,,,611.1963,1091.7333,38293.8086,611.1963,2.8784,141.3283,4.8391,,,
30000,4263.0591,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,265.9209,77.8925
30500,,,649.8811,1165.9243,41505.7969,649.8811,2.5726,140.89,3.2011,,,
31000,,,571.5071,1006.9111,28742.9805,571.5071,2.5247,88.1053,2.709,,,
31000,,,,,,,,,,1000,2321.5181,93.8822
31500,,,630.2999,1118.4686,46755.1172,630.2999,2.608,114.7413,3.0295,,,
32000,,,620.5887,1098.6925,36979.418,620.5887,2.577,101.9468,3.2253,,,
32000,,,,,,,,,,1000,2430.9591,92.2453
32500,,,617.6417,1085.3733,30483.043,617.6417,2.7853,87.4565,3.3616,,,
33000,,,592.6099,1029.1301,30500.8301,592.6099,3.3921,130.9581,2.8318,,,
33000,,,,,,,,,,1000,2554.7689,92.1676
