env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,25.7,25.7,,,,,,,,,,
5,,,5,5.0,0.7368,,,,,,,
10,,,5,5.0,83.5056,,,,,,,
25,,,15,15.0,83.9147,,,,,,,
28,,,3,3.0,85.6563,,,,,,,
37,,,9,9.0,84.1528,,,,,,,
42,,,5,5.0,83.7451,,,,,,,
51,,,9,9.0,84.1719,,,,,,,
58,,,7,7.0,83.9833,,,,,,,
62,,,4,4.0,82.95,,,,,,,
67,,,5,5.0,84.5906,,,,,,,
70,,,3,3.0,81.1602,,,,,,,
75,,,5,5.0,82.3627,,,,,,,
78,,,3,3.0,74.3434,,,,,,,
83,,,5,5.0,84.1885,,,,,,,
91,,,8,8.0,84.0493,,,,,,,
97,,,6,6.0,83.241,,,,,,,
101,,,4,4.0,83.0625,,,,,,,
106,,,5,5.0,84.2324,,,,,,,
109,,,3,3.0,84.2264,,,,,,,
114,,,5,5.0,83.0453,,,,,,,
117,,,3,3.0,84.5916,,,,,,,
121,,,4,4.0,82.1394,,,,,,,
124,,,3,3.0,84.8425,,,,,,,
129,,,5,5.0,82.8135,,,,,,,
132,,,3,3.0,84.5211,,,,,,,
135,,,3,3.0,82.3715,,,,,,,
141,,,6,6.0,84.7974,,,,,,,
145,,,4,4.0,81.9736,,,,,,,
149,,,4,4.0,84.2293,,,,,,,
154,,,5,5.0,82.8442,,,,,,,
157,,,3,3.0,83.5047,,,,,,,
163,,,6,6.0,82.3236,,,,,,,
166,,,3,3.0,84.0811,,,,,,,
170,,,4,4.0,82.301,,,,,,,
173,,,3,3.0,84.6121,,,,,,,
176,,,3,3.0,74.2894,,,,,,,
180,,,4,4.0,83.5169,,,,,,,
183,,,3,3.0,84.9273,,,,,,,
187,,,4,4.0,83.1762,,,,,,,
190,,,3,3.0,84.1565,,,,,,,
193,,,3,3.0,84.2072,,,,,,,
197,,,4,4.0,83.3191,,,,,,,
200,,,3,3.0,84.5501,,,,,,,
214,,,14,14.0,81.9053,,,,,,,
218,,,4,4.0,81.5687,,,,,,,
225,,,7,7.0,84.2307,,,,,,,
231,,,6,6.0,83.6538,,,,,,,
235,,,4,4.0,84.6654,,,,,,,
240,,,5,5.0,82.432,,,,,,,
243,,,3,3.0,83.314,,,,,,,
247,,,4,4.0,82.8341,,,,,,,
252,,,5,5.0,84.8709,,,,,,,
255,,,3,3.0,82.3198,,,,,,,
258,,,3,3.0,84.0329,,,,,,,
263,,,5,5.0,83.9546,,,,,,,
268,,,5,5.0,84.7088,,,,,,,
273,,,5,5.0,83.6779,,,,,,,
277,,,4,4.0,84.6266,,,,,,,
280,,,3,3.0,82.2063,,,,,,,
283,,,3,3.0,84.917,,,,,,,
288,,,5,5.0,83.5758,,,,,,,
294,,,6,6.0,84.6286,,,,,,,
299,,,5,5.0,83.8237,,,,,,,
305,,,6,6.0,83.6388,,,,,,,
308,,,3,3.0,85.4278,,,,,,,
312,,,4,4.0,84.289,,,,,,,
316,,,4,4.0,82.648,,,,,,,
320,,,4,4.0,85.0565,,,,,,,
324,,,4,4.0,83.6844,,,,,,,
329,,,5,5.0,84.0434,,,,,,,
333,,,4,4.0,83.0321,,,,,,,
336,,,3,3.0,84.2399,,,,,,,
339,,,3,3.0,82.1988,,,,,,,
