env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,15.1,15.1,,,,,,,,,,
10,,,10,10.0,2.2829,,,,,,,
21,,,11,11.0,96.7814,,,,,,,
34,,,13,13.0,99.8187,,,,,,,
40,,,6,6.0,100.1346,,,,,,,
45,,,5,5.0,98.6811,,,,,,,
49,,,4,4.0,101.0688,,,,,,,
54,,,5,5.0,100.6857,,,,,,,
58,,,4,4.0,96.1759,,,,,,,
62,,,4,4.0,100.8931,,,,,,,
72,,,10,10.0,100.6845,,,,,,,
76,,,4,4.0,94.7239,,,,,,,
81,,,5,5.0,92.6988,,,,,,,
85,,,4,4.0,92.6739,,,,,,,
89,,,4,4.0,94.4918,,,,,,,
93,,,4,4.0,93.8208,,,,,,,
96,,,3,3.0,90.2156,,,,,,,
100,,,4,4.0,93.6579,,,,,,,
105,,,5,5.0,92.8247,,,,,,,
108,,,3,3.0,94.3367,,,,,,,
115,,,7,7.0,93.4652,,,,,,,
118,,,3,3.0,93.8533,,,,,,,
122,,,4,4.0,91.7625,,,,,,,
127,,,5,5.0,93.8176,,,,,,,
130,,,3,3.0,88.419,,,,,,,
134,,,4,4.0,92.5221,,,,,,,
140,,,6,6.0,94.2286,,,,,,,
145,,,5,5.0,92.7484,,,,,,,
148,,,3,3.0,93.2973,,,,,,,
154,,,6,6.0,91.8769,,,,,,,
158,,,4,4.0,92.9779,,,,,,,
161,,,3,3.0,92.5248,,,,,,,
165,,,4,4.0,93.9342,,,,,,,
171,,,6,6.0,92.6809,,,,,,,
176,,,5,5.0,93.9487,,,,,,,
180,,,4,4.0,92.5471,,,,,,,
186,,,6,6.0,94.0761,,,,,,,
191,,,5,5.0,93.1116,,,,,,,
196,,,5,5.0,93.8218,,,,,,,
200,,,4,4.0,92.2241,,,,,,,
203,,,3,3.0,93.4678,,,,,,,
207,,,4,4.0,92.7056,,,,,,,
211,,,4,4.0,93.3125,,,,,,,
214,,,3,3.0,93.7875,,,,,,,
217,,,3,3.0,91.9286,,,,,,,
221,,,4,4.0,94.1165,,,,,,,
224,,,3,3.0,94.3593,,,,,,,
228,,,4,4.0,93.1369,,,,,,,
233,,,5,5.0,93.4239,,,,,,,
236,,,3,3.0,91.2883,,,,,,,
240,,,4,4.0,93.3099,,,,,,,
244,,,4,4.0,93.8748,,,,,,,
249,,,5,5.0,92.4621,,,,,,,
252,,,3,3.0,94.5032,,,,,,,
257,,,5,5.0,92.7324,,,,,,,
261,,,4,4.0,94.6053,,,,,,,
266,,,5,5.0,93.1724,,,,,,,
271,,,5,5.0,93.4127,,,,,,,
276,,,5,5.0,92.6136,,,,,,,
317,,,41,41.0,93.7904,,,,,,,
322,,,5,5.0,93.5085,,,,,,,
338,,,16,16.0,93.8895,,,,,,,
348,,,10,10.0,94.5766,,,,,,,
365,,,17,17.0,93.4627,,,,,,,
382,,,17,17.0,93.7509,,,,,,,
414,,,32,32.0,99.9011,,,,,,,
438,,,24,24.0,100.8205,,,,,,,
478,,,40,40.0,100.5459,,,,,,,
500,,,,,,2.1973,1.8082,409.108,2.1973,0.0883,0.9355,0.0191
508,,,30,30.0,100.4176,,,,,,,
520,,,12,12.0,95.3983,,,,,,,
559,,,39,39.0,93.7694,,,,,,,
566,,,7,7.0,94.4159,,,,,,,
614,,,48,48.0,93.6505,,,,,,,
