env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-12.617,50.0,,,,,,,,,,
50,,,50,-56.9227,7.3496,,,,,,,
100,,,50,-60.4315,105.6216,,,,,,,
150,,,50,-68.7686,103.8544,,,,,,,
200,,,50,-58.6123,102.7084,,,,,,,
250,,,50,-53.9709,103.061,,,,,,,
300,,,50,-58.0015,104.3135,,,,,,,
350,,,50,-56.3112,102.185,,,,,,,
400,,,50,-60.0152,103.8084,,,,,,,
450,,,50,-51.5932,106.5146,,,,,,,
500,,,,,,0.0401,1.8998,0.5327,0.0401,0.0424,0.6892,0.1105
500,,,50,-62.0662,106.1396,,,,,,,
550,,,50,-61.8216,105.9784,,,,,,,
600,,,50,-62.0299,105.7121,,,,,,,
650,,,50,-57.4999,106.0777,,,,,,,
700,,,50,-59.9806,105.3128,,,,,,,
750,,,50,-55.1059,101.9613,,,,,,,
800,,,50,-60.0448,105.4154,,,,,,,
850,,,50,-69.7858,106.0071,,,,,,,
900,,,50,-63.1108,105.5232,,,,,,,
950,,,50,-52.1052,105.5485,,,,,,,
1000,,,,,,0.0315,2.636,0.371,0.0315,0.0324,0.7291,0.1196
1000,,,50,-49.8968,106.9503,,,,,,,
1050,,,50,-60.3267,108.4444,,,,,,,
1100,,,50,-63.8062,107.3335,,,,,,,
1150,,,50,-56.102,105.1842,,,,,,,
1200,,,50,-58.5089,105.1056,,,,,,,
1250,,,50,-47.2964,107.6425,,,,,,,
1300,,,50,-59.7277,108.4974,,,,,,,
1350,,,50,-61.7149,108.4331,,,,,,,
1400,,,50,-54.702,103.7323,,,,,,,
1450,,,50,-57.387,104.1049,,,,,,,
1500,,,,,,0.0196,3.2283,0.3216,0.0196,0.0228,0.4408,0.0826
1500,,,50,-63.4559,102.7552,,,,,,,
1550,,,50,-52.9027,104.99,,,,,,,
1600,,,50,-57.0225,106.0336,,,,,,,
1650,,,50,-62.9913,106.069,,,,,,,
1700,,,50,-62.5535,106.353,,,,,,,
1750,,,50,-52.1814,106.1723,,,,,,,
1800,,,50,-60.7012,105.9848,,,,,,,
1850,,,50,-58.1137,106.0917,,,,,,,
1900,,,50,-69.5595,106.232,,,,,,,
1950,,,50,-59.0331,106.297,,,,,,,
2000,,,,,,0.0168,3.8675,0.4149,0.0168,0.0237,0.5197,0.141
2000,,,50,-58.9556,106.1586,,,,,,,
2050,,,50,-56.6606,106.1157,,,,,,,
2100,,,50,-55.9739,106.2843,,,,,,,
2150,,,50,-53.0685,106.3941,,,,,,,
2200,,,50,-63.8023,106.2776,,,,,,,
2250,,,50,-54.5452,106.5835,,,,,,,
2300,,,50,-54.0659,106.3592,,,,,,,
2350,,,50,-52.6985,105.4524,,,,,,,
2400,,,50,-64.2634,103.3323,,,,,,,
2450,,,50,-57.124,103.8219,,,,,,,
2500,,,,,,0.0136,4.5206,0.4924,0.0136,0.0295,0.728,0.1483
2500,,,50,-68.1211,102.5124,,,,,,,
2550,,,50,-53.6883,102.9265,,,,,,,
2600,,,50,-57.1058,103.3139,,,,,,,
2650,,,50,-58.0054,104.9301,,,,,,,
2700,,,50,-51.1291,101.1274,,,,,,,
2750,,,50,-59.9289,102.6546,,,,,,,
2800,,,50,-49.1407,102.6988,,,,,,,
2850,,,50,-57.6602,102.5271,,,,,,,
2900,,,50,-56.7911,102.4669,,,,,,,
2950,,,50,-56.9064,102.7111,,,,,,,
3000,,,,,,0.0121,5.095,0.5156,0.0121,0.0374,1.0567,0.1111
3000,,,50,-58.2743,101.5357,,,,,,,
3050,,,50,-72.4615,103.7219,,,,,,,
3100,,,50,-55.2688,103.3885,,,,,,,
3150,,,50,-64.2301,102.8914,,,,,,,
3200,,,50,-57.3883,102.5637,,,,,,,
3250,,,50,-54.2922,104.4254,,,,,,,
3300,,,50,-64.7892,105.9948,,,,,,,
3350,,,50,-61.8397,106.2279,,,,,,,
3400,,,50,-57.5915,106.1887,,,,,,,
3450,,,50,-56.2787,108.3602,,,,,,,
3500,,,,,,0.0107,5.7342,0.8941,0.0107,0.0414,0.971,0.2128
3500,,,50,-63.1279,103.8119,,,,,,,
3550,,,50,-66.3919,102.7241,,,,,,,
3600,,,50,-64.2468,100.0299,,,,,,,
3650,,,50,-61.2227,102.6396,,,,,,,
3700,,,50,-55.5526,103.1084,,,,,,,
3750,,,50,-64.3514,102.2786,,,,,,,
3800,,,50,-56.702,102.3644,,,,,,,
3850,,,50,-57.1639,102.6705,,,,,,,
3900,,,50,-65.4385,102.8697,,,,,,,
3950,,,50,-60.1768,102.5799,,,,,,,
4000,,,,,,0.0104,6.3912,2.4054,0.0104,0.0583,1.1376,0.5385
4000,,,50,-72.7099,102.3029,,,,,,,
4050,,,50,-56.4025,101.8087,,,,,,,
4100,,,50,-61.4499,106.3505,,,,,,,
4150,,,50,-61.5348,106.0938,,,,,,,
4200,,,50,-64.0462,105.6881,,,,,,,
4250,,,50,-69.2545,106.3226,,,,,,,
4300,,,50,-53.8672,105.9663,,,,,,,
4350,,,50,-59.9434,105.8885,,,,,,,
4400,,,50,-61.6841,105.7798,,,,,,,
4450,,,50,-58.0805,106.8351,,,,,,,
4500,,,,,,0.0092,6.8996,1.5781,0.0092,0.0512,1.9218,0.338
4500,,,50,-68.8712,105.2171,,,,,,,
4550,,,50,-59.2811,105.5428,,,,,,,
4600,,,50,-56.6538,106.3142,,,,,,,
4650,,,50,-61.0432,105.5299,,,,,,,
4700,,,50,-68.9089,107.1395,,,,,,,
4750,,,50,-56.5468,104.9086,,,,,,,
4800,,,50,-57.3756,108.7123,,,,,,,
4850,,,50,-64.0668,107.7371,,,,,,,
4900,,,50,-55.6394,108.7169,,,,,,,
4950,,,50,-57.3477,108.3065,,,,,,,
5000,,,,,,0.0074,7.5976,2.9526,0.0074,0.0699,1.6198,0.624
5000,-9.5964,50.0,,,,,,,,,,
5000,,,50,-55.315,66.4521,,,,,,,
5050,,,50,-72.1982,104.9946,,,,,,,
5100,,,50,-54.796,104.9138,,,,,,,
5150,,,50,-67.011,106.2071,,,,,,,
5200,,,50,-63.7648,105.9223,,,,,,,
5250,,,50,-60.5608,105.8606,,,,,,,
5300,,,50,-57.7295,104.7841,,,,,,,
5350,,,50,-61.3052,105.6182,,,,,,,
5400,,,50,-65.4964,106.2727,,,,,,,
5450,,,50,-56.3851,105.5559,,,,,,,
5500,,,,,,0.007,8.1782,1.433,0.007,0.0892,2.0785,0.4061
5500,,,50,-64.3361,100.4608,,,,,,,
5550,,,50,-60.0694,106.0462,,,,,,,
5600,,,50,-63.6231,107.112,,,,,,,
5650,,,50,-58.6844,106.8301,,,,,,,
5700,,,50,-58.8544,106.8622,,,,,,,
5750,,,50,-56.2121,105.952,,,,,,,
5800,,,50,-64.6678,106.0998,,,,,,,
5850,,,50,-59.9034,106.0549,,,,,,,
5900,,,50,-66.5282,106.336,,,,,,,
5950,,,50,-56.1574,105.871,,,,,,,
6000,,,,,,0.0077,8.9351,1.9484,0.0077,0.1049,2.8109,1.0934
6000,,,50,-59.0691,105.9073,,,,,,,
6050,,,50,-56.2769,102.0422,,,,,,,
6100,,,50,-57.4638,106.8188,,,,,,,
6150,,,50,-59.0124,106.1549,,,,,,,
6200,,,50,-50.5707,105.7029,,,,,,,
6250,,,50,-68.4256,107.1073,,,,,,,
6300,,,50,-59.2549,107.8517,,,,,,,
6350,,,50,-54.4885,105.9489,,,,,,,
6400,,,50,-56.624,105.9741,,,,,,,
6450,,,50,-54.9911,104.6457,,,,,,,
6500,,,,,,0.0078,9.4507,9.241,0.0078,0.1176,3.5646,0.731
6500,,,50,-63.418,105.288,,,,,,,
6550,,,50,-58.2181,102.9162,,,,,,,
6600,,,50,-55.2012,105.6382,,,,,,,
6650,,,50,-58.6862,105.5672,,,,,,,
6700,,,50,-56.2572,103.3176,,,,,,,
6750,,,50,-63.2453,104.2001,,,,,,,
6800,,,50,-59.4044,104.1293,,,,,,,
6850,,,50,-62.1741,105.5867,,,,,,,
6900,,,50,-67.4349,103.2559,,,,,,,
6950,,,50,-55.8037,106.0859,,,,,,,
7000,,,,,,0.0067,10.0916,3.2771,0.0067,0.1222,1.5215,0.4174
7000,,,50,-54.46,105.744,,,,,,,
7050,,,50,-58.5032,103.5885,,,,,,,
7100,,,50,-58.3639,98.9849,,,,,,,
7150,,,50,-58.0901,102.288,,,,,,,
7200,,,50,-53.6706,105.0529,,,,,,,
7250,,,50,-55.4137,105.5424,,,,,,,
7300,,,50,-61.8527,106.1949,,,,,,,
7350,,,50,-62.9649,105.3711,,,,,,,
7400,,,50,-58.7295,107.5289,,,,,,,
7450,,,50,-55.0318,109.4025,,,,,,,
7500,,,,,,0.0067,10.4289,4.3094,0.0067,0.15,3.137,0.326
7500,,,50,-58.1556,106.7289,,,,,,,
7550,,,50,-52.909,105.5776,,,,,,,
7600,,,50,-54.1918,105.9066,,,,,,,
7650,,,50,-56.2249,106.0934,,,,,,,
7700,,,50,-63.552,104.3424,,,,,,,
7750,,,50,-56.6597,106.1312,,,,,,,
7800,,,50,-50.0402,106.0238,,,,,,,
7850,,,50,-51.5353,105.7494,,,,,,,
7900,,,50,-53.1931,106.1671,,,,,,,
7950,,,50,-61.9439,105.9321,,,,,,,
8000,,,,,,0.0059,10.9302,6.8794,0.0059,0.1566,4.0731,0.8833
8000,,,50,-52.3397,105.9405,,,,,,,
8050,,,50,-60.6423,106.0969,,,,,,,
8100,,,50,-58.9281,106.082,,,,,,,
8150,,,50,-63.6378,105.6978,,,,,,,
8200,,,50,-64.6921,106.0315,,,,,,,
8250,,,50,-61.391,101.7956,,,,,,,
8300,,,50,-59.5122,105.4266,,,,,,,
8350,,,50,-58.0515,104.0502,,,,,,,
8400,,,50,-51.4942,106.1682,,,,,,,
8450,,,50,-53.0615,105.8331,,,,,,,
8500,,,,,,0.0069,11.4649,3.1785,0.0069,0.2168,3.7426,0.5072
8500,,,50,-54.4988,106.1758,,,,,,,
8550,,,50,-60.6411,106.8929,,,,,,,
8600,,,50,-63.9448,105.7617,,,,,,,
8650,,,50,-53.8347,107.6283,,,,,,,
8700,,,50,-55.1785,107.8074,,,,,,,
8750,,,50,-49.8624,106.3543,,,,,,,
8800,,,50,-56.5049,108.7728,,,,,,,
8850,,,50,-49.9793,108.7659,,,,,,,
8900,,,50,-56.6357,106.8119,,,,,,,
8950,,,50,-55.3617,107.1695,,,,,,,
9000,,,,,,0.0063,11.7973,5.2048,0.0063,0.1773,4.348,1.5525
9000,,,50,-55.6635,107.9477,,,,,,,
9050,,,50,-62.6926,109.1219,,,,,,,
9100,,,50,-60.1746,100.3248,,,,,,,
9150,,,50,-52.5447,107.9379,,,,,,,
9200,,,50,-59.288,106.1521,,,,,,,
9250,,,50,-52.2565,106.1868,,,,,,,
9300,,,50,-57.0613,107.29,,,,,,,
9350,,,50,-52.5915,107.0718,,,,,,,
9400,,,50,-61.5657,108.2562,,,,,,,
9450,,,50,-57.0462,106.6833,,,,,,,
9500,,,,,,0.0055,12.3269,4.0751,0.0055,0.2462,5.7162,0.5485
9500,,,50,-51.6491,108.0019,,,,,,,
9550,,,50,-58.0021,105.9576,,,,,,,
9600,,,50,-59.9809,108.174,,,,,,,
9650,,,50,-54.4663,104.3423,,,,,,,
9700,,,50,-61.1689,106.6063,,,,,,,
9750,,,50,-50.4622,105.7103,,,,,,,
9800,,,50,-52.1756,108.9643,,,,,,,
9850,,,50,-65.0288,106.4442,,,,,,,
9900,,,50,-56.6164,106.3235,,,,,,,
9950,,,50,-58.4619,105.4587,,,,,,,
10000,,,,,,0.0046,12.5648,3.4909,0.0046,0.2028,7.2161,1.2319
10000,-6.8181,50.0,,,,,,,,,,
10000,,,50,-52.7594,90.3293,,,,,,,
10050,,,50,-60.5367,106.2244,,,,,,,
10100,,,50,-60.1965,106.9816,,,,,,,
10150,,,50,-54.2142,108.6286,,,,,,,
10200,,,50,-61.6438,106.3019,,,,,,,
10250,,,50,-60.4068,105.6409,,,,,,,
10300,,,50,-69.7885,101.9095,,,,,,,
10350,,,50,-62.346,105.8897,,,,,,,
10400,,,50,-50.5212,106.2154,,,,,,,
10450,,,50,-60.3482,105.0852,,,,,,,
10500,,,,,,0.0056,12.7767,4.8213,0.0056,0.2807,12.5299,2.7167
10500,,,50,-62.3928,102.5103,,,,,,,
10550,,,50,-52.4534,103.2083,,,,,,,
10600,,,50,-51.2662,104.8473,,,,,,,
10650,,,50,-61.7134,106.2419,,,,,,,
10700,,,50,-54.937,106.5413,,,,,,,
10750,,,50,-57.7533,106.2107,,,,,,,
10800,,,50,-56.1027,106.1712,,,,,,,
10850,,,50,-54.1403,106.1525,,,,,,,
10900,,,50,-60.0677,106.4811,,,,,,,
10950,,,50,-61.8936,106.2544,,,,,,,
11000,,,,,,0.0051,13.1656,12.3024,0.0051,0.2699,8.5685,0.7341
11000,,,50,-50.8348,106.2589,,,,,,,
11050,,,50,-53.4231,105.8776,,,,,,,
11100,,,50,-60.695,106.1064,,,,,,,
11150,,,50,-59.0255,105.734,,,,,,,
11200,,,50,-54.7993,105.7619,,,,,,,
11250,,,50,-51.0971,106.181,,,,,,,
11300,,,50,-66.639,105.8396,,,,,,,
11350,,,50,-58.0147,106.4145,,,,,,,
11400,,,50,-58.3902,106.2007,,,,,,,
11450,,,50,-52.5923,105.6815,,,,,,,
11500,,,,,,0.0057,13.4274,6.682,0.0057,0.2599,7.5974,1.3414
11500,,,50,-55.6871,105.812,,,,,,,
11550,,,50,-52.3147,105.5179,,,,,,,
11600,,,50,-52.5055,105.9127,,,,,,,
11650,,,50,-58.7428,105.7687,,,,,,,
11700,,,50,-57.162,106.2624,,,,,,,
11750,,,50,-53.4123,108.0177,,,,,,,
11800,,,50,-62.7597,107.6964,,,,,,,
11850,,,50,-52.9474,104.7021,,,,,,,
11900,,,50,-51.8738,105.2538,,,,,,,
11950,,,50,-57.0128,104.2188,,,,,,,
12000,,,,,,0.0042,13.8214,11.5989,0.0042,0.2485,7.1883,1.5825
12000,,,50,-54.2495,104.7012,,,,,,,
12050,,,50,-50.9512,105.6613,,,,,,,
12100,,,50,-54.0625,105.4991,,,,,,,
12150,,,50,-53.6697,101.7745,,,,,,,
12200,,,50,-56.7993,101.3636,,,,,,,
12250,,,50,-54.397,101.43,,,,,,,
12300,,,50,-57.02,102.2356,,,,,,,
12350,,,50,-57.3488,102.4072,,,,,,,
12400,,,50,-53.982,102.9558,,,,,,,
12450,,,50,-56.9236,103.2674,,,,,,,
12500,,,,,,0.0053,13.9427,5.3322,0.0053,0.2306,8.1168,0.8652
12500,,,50,-56.5275,104.1014,,,,,,,
12550,,,50,-59.5288,103.4155,,,,,,,
12600,,,50,-50.8491,102.7901,,,,,,,
12650,,,50,-50.9986,102.9533,,,,,,,
12700,,,50,-49.2502,103.9058,,,,,,,
12750,,,50,-55.2497,103.8015,,,,,,,
12800,,,50,-59.8655,104.4952,,,,,,,
12850,,,50,-48.921,103.5133,,,,,,,
12900,,,50,-55.5423,102.3384,,,,,,,
12950,,,50,-52.8492,102.221,,,,,,,
13000,,,,,,0.0051,14.3002,5.1204,0.0051,0.2319,5.5579,0.7916
13000,,,50,-66.6549,106.6771,,,,,,,
13050,,,50,-51.8874,105.7989,,,,,,,
13100,,,50,-50.9208,106.8208,,,,,,,
13150,,,50,-66.4864,107.6155,,,,,,,
13200,,,50,-55.0512,105.3499,,,,,,,
13250,,,50,-58.9893,106.7844,,,,,,,
13300,,,50,-53.0846,106.9195,,,,,,,
13350,,,50,-50.7688,105.5685,,,,,,,
13400,,,50,-44.9438,107.2842,,,,,,,
13450,,,50,-54.2189,105.4405,,,,,,,
13500,,,,,,0.0039,14.731,3.9136,0.0039,0.2707,8.4432,0.4679
