env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-13.4947,50.0,,,,,,,,,,
50,,,50,-65.3187,10.1834,,,,,,,
100,,,50,-86.3333,93.1947,,,,,,,
150,,,50,-83.5289,93.0917,,,,,,,
200,,,50,-78.6815,93.225,,,,,,,
250,,,50,-71.7408,93.7204,,,,,,,
300,,,50,-77.4709,92.9421,,,,,,,
350,,,50,-76.61,94.4409,,,,,,,
400,,,50,-74.0618,99.872,,,,,,,
450,,,50,-77.9779,99.4547,,,,,,,
500,,,,,,184.2003,371.5427,2871.8638,184.2003,0.3976,1.4223,0.087
500,,,50,-70.5549,99.4699,,,,,,,
550,,,50,-76.7992,99.7242,,,,,,,
600,,,50,-74.5622,99.5472,,,,,,,
650,,,50,-72.6251,99.871,,,,,,,
700,,,50,-75.0539,99.9917,,,,,,,
750,,,50,-73.4147,99.7015,,,,,,,
800,,,50,-72.8288,99.2746,,,,,,,
850,,,50,-68.1634,99.5998,,,,,,,
900,,,50,-69.3722,99.6785,,,,,,,
950,,,50,-62.9128,99.3103,,,,,,,
1000,,,,,,120.5322,246.3674,1578.1826,120.5322,0.5501,1.4198,0.1521
1000,,,50,-58.4801,96.7248,,,,,,,
1050,,,50,-61.4411,93.1836,,,,,,,
1100,,,50,-68.3985,94.2026,,,,,,,
1150,,,50,-68.5958,97.4235,,,,,,,
1200,,,50,-63.8326,96.6049,,,,,,,
1250,,,50,-61.1565,100.0294,,,,,,,
1300,,,50,-62.1905,99.9314,,,,,,,
1350,,,50,-63.8674,96.8389,,,,,,,
1400,,,50,-62.968,93.733,,,,,,,
1450,,,50,-63.9895,96.127,,,,,,,
1500,,,,,,150.686,309.5498,1777.4595,150.686,0.4305,2.3188,0.3765
1500,,,50,-64.8536,100.0404,,,,,,,
1550,,,50,-64.0725,99.928,,,,,,,
1600,,,50,-61.6979,95.9571,,,,,,,
1650,,,50,-56.2742,98.9778,,,,,,,
1700,,,50,-60.3355,99.9144,,,,,,,
1750,,,50,-57.9868,99.8829,,,,,,,
1800,,,50,-60.5436,99.8777,,,,,,,
1850,,,50,-63.1615,100.1705,,,,,,,
1900,,,50,-56.0208,100.1039,,,,,,,
1950,,,50,-63.3782,100.1061,,,,,,,
2000,,,,,,123.9117,257.8632,1531.6627,123.9117,0.2945,1.9862,0.315
2000,,,50,-58.5323,99.9155,,,,,,,
2050,,,50,-56.2416,100.0711,,,,,,,
2100,,,50,-62.475,99.9565,,,,,,,
2150,,,50,-56.074,94.7858,,,,,,,
2200,,,50,-67.8222,93.9407,,,,,,,
2250,,,50,-58.14,94.2849,,,,,,,
2300,,,50,-57.4212,93.9607,,,,,,,
2350,,,50,-58.5141,93.5159,,,,,,,
2400,,,50,-64.3278,93.8824,,,,,,,
2450,,,50,-63.294,100.0203,,,,,,,
2500,,,,,,95.8972,202.7654,2625.9148,95.8972,0.2332,1.7725,0.3526
2500,,,50,-69.4618,100.0432,,,,,,,
2550,,,50,-55.0358,99.5086,,,,,,,
2600,,,50,-64.5898,100.0444,,,,,,,
2650,,,50,-61.1437,99.9581,,,,,,,
2700,,,50,-54.4285,100.0022,,,,,,,
2750,,,50,-61.2802,99.6431,,,,,,,
2800,,,50,-65.8329,100.0177,,,,,,,
2850,,,50,-54.4331,99.729,,,,,,,
2900,,,50,-59.5281,99.8157,,,,,,,
2950,,,50,-59.3496,99.9881,,,,,,,
3000,,,,,,139.7,291.1447,3153.2234,139.7,0.1963,0.9568,0.2915
3000,,,50,-57.614,100.0416,,,,,,,
3050,,,50,-56.2944,99.9461,,,,,,,
3100,,,50,-70.0774,99.9659,,,,,,,
3150,,,50,-60.7711,99.7454,,,,,,,
3200,,,50,-58.2941,99.9267,,,,,,,
3250,,,50,-66.2105,99.6927,,,,,,,
3300,,,50,-61.1884,99.4121,,,,,,,
3350,,,50,-64.6413,99.8133,,,,,,,
3400,,,50,-64.1079,99.7944,,,,,,,
3450,,,50,-60.018,99.6529,,,,,,,
3500,,,,,,141.6568,295.2757,3299.5935,141.6568,0.1633,1.2307,0.6419
3500,,,50,-56.5389,99.8918,,,,,,,
3550,,,50,-59.5629,99.6755,,,,,,,
3600,,,50,-56.2835,98.3907,,,,,,,
3650,,,50,-60.9408,99.6208,,,,,,,
3700,,,50,-60.5437,99.9803,,,,,,,
3750,,,50,-56.248,95.2482,,,,,,,
3800,,,50,-55.8572,93.5405,,,,,,,
3850,,,50,-71.1044,93.5337,,,,,,,
3900,,,50,-55.0753,93.4441,,,,,,,
3950,,,50,-52.3385,93.7556,,,,,,,
4000,,,,,,200.731,413.8102,5635.4463,200.731,0.1444,1.8891,0.7737
4000,,,50,-64.4124,93.2833,,,,,,,
4050,,,50,-57.2186,93.5413,,,,,,,
4100,,,50,-63.5943,93.4069,,,,,,,
4150,,,50,-52.3907,93.4709,,,,,,,
4200,,,50,-57.4933,98.18,,,,,,,
4250,,,50,-49.8801,99.8486,,,,,,,
4300,,,50,-49.9258,99.951,,,,,,,
4350,,,50,-63.9861,99.6669,,,,,,,
4400,,,50,-50.5903,99.7402,,,,,,,
4450,,,50,-57.522,99.7389,,,,,,,
4500,,,,,,103.03,218.4362,3370.491,103.03,0.1288,1.4623,0.5932
4500,,,50,-66.2183,95.5231,,,,,,,
4550,,,50,-56.5939,93.37,,,,,,,
4600,,,50,-56.6532,93.1615,,,,,,,
4650,,,50,-59.5876,93.0385,,,,,,,
4700,,,50,-50.7444,93.5061,,,,,,,
4750,,,50,-55.3162,93.4181,,,,,,,
4800,,,50,-61.3052,93.6298,,,,,,,
4850,,,50,-59.6947,93.1991,,,,,,,
4900,,,50,-61.5856,93.3235,,,,,,,
4950,,,50,-57.4007,93.3097,,,,,,,
5000,,,,,,121.6747,256.0692,7512.3496,121.6747,0.1023,2.583,0.7277
5000,-9.6122,50.0,,,,,,,,,,
5000,,,50,-61.8714,55.2121,,,,,,,
5050,,,50,-59.1216,92.8095,,,,,,,
5100,,,50,-59.3837,93.2387,,,,,,,
5150,,,50,-64.0276,93.2447,,,,,,,
5200,,,50,-54.0158,92.9326,,,,,,,
5250,,,50,-62.153,93.0406,,,,,,,
5300,,,50,-69.8424,92.8645,,,,,,,
5350,,,50,-65.4398,93.4631,,,,,,,
5400,,,50,-61.3242,93.3314,,,,,,,
5450,,,50,-62.0086,93.365,,,,,,,
5500,,,,,,103.1733,219.2465,5005.8955,103.1733,0.075,1.4056,0.5937
5500,,,50,-60.8984,93.292,,,,,,,
5550,,,50,-59.6949,93.7442,,,,,,,
5600,,,50,-51.1104,99.8345,,,,,,,
5650,,,50,-69.1561,99.8038,,,,,,,
5700,,,50,-58.0929,99.8124,,,,,,,
5750,,,50,-55.5219,100.148,,,,,,,
5800,,,50,-65.0932,98.1147,,,,,,,
5850,,,50,-70.7277,99.842,,,,,,,
5900,,,50,-49.2431,99.7694,,,,,,,
5950,,,50,-58.6622,99.9109,,,,,,,
6000,,,,,,102.2517,217.8128,6993.8022,102.2517,0.0649,1.3133,0.8444
6000,,,50,-63.875,99.6209,,,,,,,
6050,,,50,-61.0998,99.877,,,,,,,
6100,,,50,-60.0717,99.7593,,,,,,,
6150,,,50,-56.5087,100.0569,,,,,,,
6200,,,50,-52.9321,99.7901,,,,,,,
6250,,,50,-57.3598,99.8283,,,,,,,
6300,,,50,-46.4554,99.7826,,,,,,,
6350,,,50,-66.3593,99.7402,,,,,,,
6400,,,50,-59.3973,98.3664,,,,,,,
6450,,,50,-54.2975,93.2606,,,,,,,
6500,,,,,,110.0691,233.666,8987.2969,110.0691,0.0892,4.4498,0.4819
6500,,,50,-57.5645,93.3357,,,,,,,
6550,,,50,-58.1868,93.2834,,,,,,,
6600,,,50,-62.9935,93.7999,,,,,,,
6650,,,50,-58.0736,94.8877,,,,,,,
6700,,,50,-58.3578,99.6128,,,,,,,
6750,,,50,-67.0098,99.9669,,,,,,,
6800,,,50,-59.5609,93.8988,,,,,,,
6850,,,50,-61.9769,93.5594,,,,,,,
6900,,,50,-57.5513,95.6326,,,,,,,
6950,,,50,-53.4967,99.6692,,,,,,,
7000,,,,,,69.7482,153.3302,4416.0781,69.7482,0.043,1.1121,0.5659
7000,,,50,-61.3944,99.5895,,,,,,,
7050,,,50,-61.6217,99.8379,,,,,,,
7100,,,50,-60.9986,99.7083,,,,,,,
7150,,,50,-62.7531,99.9461,,,,,,,
7200,,,50,-60.6292,100.0205,,,,,,,
7250,,,50,-52.4643,96.0743,,,,,,,
7300,,,50,-54.7791,93.5427,,,,,,,
7350,,,50,-47.4396,93.2276,,,,,,,
7400,,,50,-58.3578,92.6271,,,,,,,
7450,,,50,-50.5096,97.0697,,,,,,,
7500,,,,,,114.377,242.8437,8020.9478,114.377,0.059,1.4019,0.6548
7500,,,50,-52.7032,99.0853,,,,,,,
7550,,,50,-56.3061,98.1303,,,,,,,
7600,,,50,-64.359,99.6069,,,,,,,
