env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
0,824.6388,1000.0,,,,,,,,,,,,,,,
91,,,91,-126.4725,62.2948,,,,,,,,,,,,
204,,,113,-231.8947,68.9207,,,,,,,,,,,,
323,,,119,-193.8651,68.8534,,,,,,,,,,,,
500,,,,,,50,50,26,27.9269,73.7931,33.3879,-41.3981,75.3432,35.2145,0.7425,0.9869,0.1127
1000,,,,,,50,50,26,37.3794,82.4762,39.5062,-43.223,84.8361,31.077,1.1549,2.9264,0.1926
1323,,,1000,-1474.7101,70.5105,,,,,,,,,,,,
1500,,,,,,50,50,26,52.4513,83.4039,39.6862,-43.7979,86.0129,53.2672,1.2784,6.6756,0.4039
2000,,,,,,50,50,26,53.203,82.5721,39.0203,-44.0932,85.2341,64.3961,1.2666,10.8521,0.6519
2323,,,1000,-1266.4563,71.525,,,,,,,,,,,,
2368,,,45,-31.719,69.4997,,,,,,,,,,,,
2500,,,,,,50,50,27,55.0291,83.0227,39.9616,-44.1478,85.97,67.684,1.2757,15.5629,0.781
3000,,,,,,50,50,27,55.5308,84.2987,40.4695,-44.1664,87.1284,71.2995,1.3175,26.4749,0.848
3368,,,1000,-1260.7327,69.748,,,,,,,,,,,,
3500,,,,,,50,50,27,60.6363,89.0335,43.4999,-44.1725,91.7041,75.3973,1.2474,21.0349,1.0317
4000,,,,,,50,50,28,56.961,88.7886,45.1915,-44.1767,91.3784,67.5603,1.5236,35.394,0.9925
4368,,,1000,-1205.0838,70.9885,,,,,,,,,,,,
4390,,,22,-58.1639,66.7621,,,,,,,,,,,,
4500,,,,,,50,50,28,61.6292,91.4957,47.8193,-44.1795,94.2149,72.9583,1.5618,35.4351,1.1684
5000,,,,,,50,50,28,61.6861,92.036,48.9169,-44.1805,94.7878,87.1663,1.2212,23.5589,1.1248
5000,-34.2559,625.5,,,,,,,,,,,,,,,
5390,,,1000,-1176.4875,56.4279,,,,,,,,,,,,
5446,,,56,-41.843,69.209,,,,,,,,,,,,
5471,,,25,-41.9642,68.5398,,,,,,,,,,,,
5500,,,,,,50,50,28,60.8004,93.055,48.1308,-44.1817,95.2061,80.3889,1.5174,32.1706,1.2992
5502,,,31,-36.2643,68.4921,,,,,,,,,,,,
5664,,,162,-152.8838,69.7955,,,,,,,,,,,,
5687,,,23,-32.4033,69.5431,,,,,,,,,,,,
5716,,,29,-31.5883,69.2697,,,,,,,,,,,,
5753,,,37,-49.965,69.6278,,,,,,,,,,,,
5801,,,48,-82.8196,69.4711,,,,,,,,,,,,
5839,,,38,-47.1831,69.2984,,,,,,,,,,,,
5882,,,43,-37.4056,69.1032,,,,,,,,,,,,
6000,,,,,,50,50,28,62.3447,95.3591,49.8842,-44.1818,97.1065,90.9676,1.7675,62.8762,1.3932
6500,,,,,,50,50,28,62.7844,94.4839,50.6746,-44.1821,96.0815,95.8932,1.6528,47.8103,1.2414
6882,,,1000,-1113.1535,69.7471,,,,,,,,,,,,
6916,,,34,3.8619,69.2097,,,,,,,,,,,,
6957,,,41,-62.266,68.7564,,,,,,,,,,,,
7000,,,,,,50,50,28,65.0776,95.3398,51.9385,-44.1822,96.4699,102.4269,2.0519,53.9555,1.6281
7500,,,,,,50,50,28,64.5148,94.1968,49.481,-44.1822,96.6245,120.3679,1.3818,34.2334,1.505
7957,,,1000,-1054.5912,69.6348,,,,,,,,,,,,
7974,,,17,-24.0304,67.3035,,,,,,,,,,,,
7987,,,13,-21.4229,67.5652,,,,,,,,,,,,
8000,,,,,,50,50,28,66.1502,94.4791,48.5113,-44.1823,96.6002,107.716,1.7748,67.5877,1.6121
8041,,,54,-65.3463,69.2141,,,,,,,,,,,,
8080,,,39,-47.2745,69.3583,,,,,,,,,,,,
8182,,,102,-137.0679,69.3893,,,,,,,,,,,,
8220,,,38,-25.8821,68.3425,,,,,,,,,,,,
8236,,,16,-18.2146,67.7982,,,,,,,,,,,,
8500,,,,,,50,50,28,65.7143,92.6973,49.1899,-44.1823,94.2044,114.7688,2.282,49.6148,1.8162
9000,,,,,,50,50,28,68.8174,92.8528,48.0827,-44.1823,95.2572,134.4294,1.5946,48.8672,1.7079
9236,,,1000,-1076.8719,69.8358,,,,,,,,,,,,
9304,,,68,-48.2184,69.6987,,,,,,,,,,,,
9500,,,,,,50,50,28,67.242,91.6705,47.3858,-44.1823,93.6983,144.9693,1.7531,56.576,1.756
10000,,,,,,50,50,28,71.2973,92.5307,49.1379,-44.1823,94.625,137.1793,1.9542,58.7368,1.8783
10000,103.5402,837.1,,,,,,,,,,,,,,,
10304,,,1000,-1041.0311,53.4044,,,,,,,,,,,,
10500,,,,,,50,50,28,70.8663,91.3883,46.7348,-44.1823,92.5437,137.5613,1.5259,71.1328,1.8092
11000,,,,,,50,50,28,76.5543,91.0357,46.5525,-44.1823,92.6819,181.4465,1.6237,57.5162,1.8445
11304,,,1000,-1029.5355,70.5907,,,,,,,,,,,,
11325,,,21,-18.4262,69.9038,,,,,,,,,,,,
11500,,,,,,50,50,28,74.0009,90.5431,46.5361,-44.1823,92.1851,165.76,1.7959,92.6522,1.8335
12000,,,,,,50,50,28,73.4305,89.4304,45.1556,-44.1823,91.5233,159.6708,1.4863,78.6869,2.011
12325,,,1000,-1004.033,69.9485,,,,,,,,,,,,
12389,,,64,-59.1456,68.6433,,,,,,,,,,,,
12408,,,19,-20.285,67.4516,,,,,,,,,,,,
12500,,,,,,50,50,28,68.6806,90.8401,45.0406,-44.1823,92.0334,184.8601,2.0467,92.9811,1.9916
13000,,,,,,50,50,28,72.8937,89.7639,46.2209,-44.1823,92.4163,175.1907,1.665,59.4375,1.8376
13408,,,1000,-917.4635,69.6703,,,,,,,,,,,,
13463,,,55,-70.016,68.7764,,,,,,,,,,,,
13499,,,36,-40.5498,68.2853,,,,,,,,,,,,
13500,,,,,,50,50,28,75.4248,90.5205,47.1086,-44.1823,93.3933,185.9533,1.8082,59.5084,1.9557
13661,,,162,-154.2605,71.8873,,,,,,,,,,,,
13735,,,74,-94.8897,68.9128,,,,,,,,,,,,
13798,,,63,-68.7417,69.1801,,,,,,,,,,,,
14000,,,,,,50,50,28,74.7065,90.9988,45.69,-44.1823,91.5682,202.5915,2.2964,97.1196,1.9648
14500,,,,,,50,50,28,74.1188,92.2998,45.8729,-44.1823,93.9582,210.3238,2.0337,87.6791,2.1691
14798,,,1000,-917.3278,69.6679,,,,,,,,,,,,
15000,,,,,,50,50,28,76.4158,92.2812,46.3216,-44.1823,92.9569,186.8181,2.2759,87.2705,2.203
15000,128.6267,901.5,,,,,,,,,,,,,,,
15043,,,245,-228.3611,29.0775,,,,,,,,,,,,
15084,,,41,-32.5917,68.6651,,,,,,,,,,,,
15299,,,215,-205.5871,69.3689,,,,,,,,,,,,
15313,,,14,-9.7441,69.1258,,,,,,,,,,,,
15338,,,25,-27.8348,72.374,,,,,,,,,,,,
15396,,,58,-74.7636,72.2623,,,,,,,,,,,,
15500,,,,,,50,50,28,75.3302,91.8266,44.8929,-44.1823,93.515,217.3027,3.2232,105.592,2.5234
15588,,,192,-164.6087,69.4229,,,,,,,,,,,,
15615,,,27,-24.0579,68.6631,,,,,,,,,,,,
15728,,,113,-60.2778,69.383,,,,,,,,,,,,
15761,,,33,-22.8737,68.8383,,,,,,,,,,,,
15857,,,96,-114.3165,68.6265,,,,,,,,,,,,
15894,,,37,-26.9977,69.1169,,,,,,,,,,,,
15942,,,48,-34.9413,69.2095,,,,,,,,,,,,
16000,,,,,,50,50,28,73.8959,92.5897,47.253,-44.1823,90.9467,199.1238,3.4517,162.146,2.2808
16500,,,,,,50,50,28,71.0026,92.009,48.7139,-44.1823,91.7777,198.6797,3.3713,113.0321,2.2952
16942,,,1000,-918.3216,70.0316,,,,,,,,,,,,
16999,,,57,-58.5137,68.6783,,,,,,,,,,,,
17000,,,,,,50,50,28,80.1559,92.0118,47.0171,-44.1823,92.2436,193.936,2.4952,114.0212,2.1207
17126,,,127,-85.0798,72.0735,,,,,,,,,,,,
17165,,,39,-41.8619,70.7692,,,,,,,,,,,,
17212,,,47,-45.1485,68.4326,,,,,,,,,,,,
17266,,,54,-71.6484,68.8933,,,,,,,,,,,,
17320,,,54,-22.4466,68.4438,,,,,,,,,,,,
17332,,,12,-14.9425,67.7192,,,,,,,,,,,,
17357,,,25,-7.6274,68.6314,,,,,,,,,,,,
17393,,,36,-9.2386,68.5837,,,,,,,,,,,,
17421,,,28,-7.2009,68.732,,,,,,,,,,,,
17478,,,57,-64.4856,68.5993,,,,,,,,,,,,
17500,,,,,,50,50,28,76.958,94.3328,49.3186,-44.1823,94.4765,207.8389,4.0186,112.1186,2.5926
17571,,,93,-115.9239,69.407,,,,,,,,,,,,
17627,,,56,-46.6323,69.1622,,,,,,,,,,,,
17751,,,124,-179.1826,68.6075,,,,,,,,,,,,
17856,,,105,-130.8886,69.6373,,,,,,,,,,,,
18000,,,,,,50,50,28,73.8219,93.0254,47.4025,-44.1823,93.6921,182.7786,4.6928,155.1752,2.4755
18022,,,166,-110.5356,69.2702,,,,,,,,,,,,
18131,,,109,-68.1561,69.3523,,,,,,,,,,,,
18190,,,59,-75.0056,69.121,,,,,,,,,,,,
18500,,,,,,50,50,29,69.8927,91.4647,47.2988,-44.1823,89.8916,184.965,5.5513,258.9748,2.445
18739,,,549,-532.6354,69.9181,,,,,,,,,,,,
18782,,,43,-1.9802,70.3109,,,,,,,,,,,,
18817,,,35,-10.1446,69.1702,,,,,,,,,,,,
18869,,,52,-15.3847,69.3261,,,,,,,,,,,,
19000,,,,,,50,50,29,70.2259,93.9047,49.493,-44.1823,90.7329,197.1021,5.1,184.3148,2.4879
19077,,,208,-155.4326,69.5482,,,,,,,,,,,,
19500,,,,,,50,50,29,69.2073,91.4273,46.9466,-44.1823,87.5217,205.9326,5.4523,244.0877,3.0195
20000,,,,,,50,50,29,69.7806,90.4779,45.6417,-44.1823,89.0968,205.6912,5.0995,172.8218,2.6624
20000,472.0648,931.6,,,,,,,,,,,,,,,
20077,,,1000,-836.5048,51.2664,,,,,,,,,,,,
20103,,,26,-9.1625,67.788,,,,,,,,,,,,
20263,,,160,-114.1927,70.2678,,,,,,,,,,,,
20421,,,158,-166.9669,72.7549,,,,,,,,,,,,
20495,,,74,-68.7094,70.3818,,,,,,,,,,,,
20500,,,,,,50,50,29,71.9801,92.0331,47.6402,-44.1823,90.5344,220.2704,4.8941,212.4213,2.7601
