env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
0,859.4941,1000.0,,,,,,,,,,,,,,,
66,,,66,-94.0864,58.056,,,,,,,,,,,,
106,,,40,-103.7046,70.3157,,,,,,,,,,,,
140,,,34,-38.7933,68.8799,,,,,,,,,,,,
500,,,,,,50,50,50,1.9257,0.0703,57.1732,57.1793,1.4639,0.5163,0.7868,1.1606,0.0903
1000,,,,,,50,50,50,1.8249,0.0408,55.914,55.8931,1.926,0.4701,0.5339,0.8345,0.1962
1140,,,1000,-1168.1517,72.2824,,,,,,,,,,,,
1168,,,28,-18.1367,69.6598,,,,,,,,,,,,
1188,,,20,-29.6395,70.2266,,,,,,,,,,,,
1247,,,59,-20.381,70.0002,,,,,,,,,,,,
1363,,,116,-154.5835,72.0065,,,,,,,,,,,,
1491,,,128,-122.32,75.2068,,,,,,,,,,,,
1500,,,,,,50,50,50,1.8667,0.0418,54.5146,54.5579,0.8576,0.4838,0.4683,0.969,0.3361
1519,,,28,-13.1633,74.3298,,,,,,,,,,,,
1647,,,128,-201.4147,73.1505,,,,,,,,,,,,
1749,,,102,-119.8622,69.5987,,,,,,,,,,,,
1772,,,23,-36.9437,67.0846,,,,,,,,,,,,
1789,,,17,-30.4207,69.5337,,,,,,,,,,,,
1894,,,105,-146.9008,70.5437,,,,,,,,,,,,
1919,,,25,-15.837,69.2549,,,,,,,,,,,,
1958,,,39,-48.2271,71.279,,,,,,,,,,,,
2000,,,,,,50,50,50,1.7927,0.0287,54.1999,54.1456,-1.1037,0.4869,0.4455,1.1417,0.3807
2060,,,102,-142.6576,70.3529,,,,,,,,,,,,
2151,,,91,-1.2374,74.1479,,,,,,,,,,,,
2228,,,77,-48.6463,71.8051,,,,,,,,,,,,
2293,,,65,-80.155,74.3798,,,,,,,,,,,,
2391,,,98,-79.0049,74.1133,,,,,,,,,,,,
2500,,,,,,50,50,50,1.85,0.019,54.1189,54.1126,-3.179,0.419,0.5602,1.4278,0.3905
2514,,,123,-212.0394,71.8101,,,,,,,,,,,,
2607,,,93,-72.0735,70.4985,,,,,,,,,,,,
2696,,,89,-52.5778,73.7992,,,,,,,,,,,,
2806,,,110,-64.4049,72.0976,,,,,,,,,,,,
2959,,,153,-130.2898,70.0503,,,,,,,,,,,,
2988,,,29,-15.8875,70.0492,,,,,,,,,,,,
3000,,,,,,50,50,50,1.9229,0.0346,53.3276,53.3022,-5.3251,0.6507,0.7579,1.5514,0.3545
3032,,,44,-35.1626,70.1531,,,,,,,,,,,,
3125,,,93,-44.7838,71.0986,,,,,,,,,,,,
3167,,,42,-46.7786,70.2371,,,,,,,,,,,,
3214,,,47,-25.1155,72.1189,,,,,,,,,,,,
3323,,,109,-152.0699,72.8763,,,,,,,,,,,,
3348,,,25,-11.8765,73.3947,,,,,,,,,,,,
3450,,,102,-9.0219,70.6433,,,,,,,,,,,,
3463,,,13,-28.3208,68.9008,,,,,,,,,,,,
3500,,,,,,50,50,50,2.4028,0.1079,51.9744,51.8733,-7.232,1.1071,0.9705,1.6522,0.3115
3522,,,59,-16.1448,69.6634,,,,,,,,,,,,
3580,,,58,-4.0051,69.9779,,,,,,,,,,,,
3618,,,38,-43.3041,70.2363,,,,,,,,,,,,
3656,,,38,-36.4151,70.1083,,,,,,,,,,,,
3680,,,24,-13.075,70.6044,,,,,,,,,,,,
3699,,,19,-19.5397,68.3667,,,,,,,,,,,,
4000,,,,,,50,50,50,3.7906,0.35,49.8004,49.7464,-8.6953,2.7849,1.1536,1.4382,0.2773
4500,,,,,,50,50,50,4.4832,0.4304,47.7414,47.711,-9.9672,2.5798,1.2382,3.6335,0.2645
4699,,,1000,-945.5759,71.8731,,,,,,,,,,,,
4797,,,98,-132.8915,74.5689,,,,,,,,,,,,
4821,,,24,-47.2506,73.8871,,,,,,,,,,,,
4858,,,37,-14.1037,71.0293,,,,,,,,,,,,
