env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-74.2379,693.1,,,,,,,,,,,,,,,,,,
77,,,77,-113.2649,4.5831,,,,,,,,,,,,,,,
124,,,47,-114.6222,19.8203,,,,,,,,,,,,,,,
192,,,68,-117.9034,18.9128,,,,,,,,,,,,,,,
241,,,49,-115.1748,17.0718,,,,,,,,,,,,,,,
299,,,58,-116.7664,17.4244,,,,,,,,,,,,,,,
342,,,43,-116.5229,18.1287,,,,,,,,,,,,,,,
388,,,46,-121.8216,18.653,,,,,,,,,,,,,,,
466,,,78,-114.213,18.4967,,,,,,,,,,,,,,,
500,,,,,,50,2,1,693.2119,0.9024,0.015,4.4811,0.0374,5.0377,6.954,3.3303,-4.4062,24.9435,17.9517,0.0
599,,,133,-117.4872,17.6153,,,,,,,,,,,,,,,
662,,,63,-120.577,18.6121,,,,,,,,,,,,,,,
746,,,84,-121.3083,18.8205,,,,,,,,,,,,,,,
857,,,111,-121.9095,17.9577,,,,,,,,,,,,,,,
929,,,72,-115.7114,16.9836,,,,,,,,,,,,,,,
999,,,70,-113.7466,16.7523,,,,,,,,,,,,,,,
1000,,,,,,50,3,1,899.6664,1.0481,0.4053,5.1943,0.4313,40.8063,14.0188,37.3598,-5.4208,25.1512,15.2274,0.0
1043,,,44,-120.0718,15.99,,,,,,,,,,,,,,,
1106,,,63,-117.5996,17.1089,,,,,,,,,,,,,,,
1178,,,72,-117.9298,17.9433,,,,,,,,,,,,,,,
1279,,,101,-118.1672,17.5768,,,,,,,,,,,,,,,
1388,,,109,-116.6861,17.5097,,,,,,,,,,,,,,,
1456,,,68,-118.5433,17.4116,,,,,,,,,,,,,,,
1500,,,,,,50,3,1,932.1943,1.0718,0.793,5.495,0.8205,75.9438,10.484,69.8708,-5.909,16.9361,21.726,0.0
1533,,,77,-115.5296,17.0385,,,,,,,,,,,,,,,
1579,,,46,-119.5825,16.9307,,,,,,,,,,,,,,,
1626,,,47,-120.4002,17.2326,,,,,,,,,,,,,,,
1715,,,89,-114.8665,18.2104,,,,,,,,,,,,,,,
1784,,,69,-114.5254,19.3369,,,,,,,,,,,,,,,
1996,,,212,-123.8076,19.028,,,,,,,,,,,,,,,
2000,,,,,,48,3,1,1050.8529,0.8746,1.1819,4.2898,1.2033,103.756,7.4599,98.9958,-4.5185,14.2159,61.1304,0.001
2038,,,42,-117.4555,19.1311,,,,,,,,,,,,,,,
2151,,,113,-118.8475,19.0489,,,,,,,,,,,,,,,
2306,,,155,-116.638,18.0152,,,,,,,,,,,,,,,
2423,,,117,-125.3165,17.8586,,,,,,,,,,,,,,,
2500,,,,,,47,3,1,1070.672,0.9686,0.7983,4.6984,0.8218,66.8282,20.8242,61.7699,-4.8631,7.4611,354.5295,0.0037
2520,,,97,-123.5066,18.3883,,,,,,,,,,,,,,,
2619,,,99,-120.8646,18.4013,,,,,,,,,,,,,,,
2692,,,73,-120.0708,19.8847,,,,,,,,,,,,,,,
2781,,,89,-122.6532,20.0158,,,,,,,,,,,,,,,
2852,,,71,-116.2002,19.7915,,,,,,,,,,,,,,,
2969,,,117,-125.5978,18.2576,,,,,,,,,,,,,,,
3000,,,,,,47,3,1,1097.8269,1.0055,1.1922,4.9567,1.217,103.0442,5.8776,95.927,-5.3072,4.8477,112.0441,0.1273
3036,,,67,-115.7247,17.5327,,,,,,,,,,,,,,,
3155,,,119,-125.1797,17.8912,,,,,,,,,,,,,,,
3243,,,88,-121.1341,18.4872,,,,,,,,,,,,,,,
3316,,,73,-117.7977,16.9375,,,,,,,,,,,,,,,
3406,,,90,-119.8817,18.0438,,,,,,,,,,,,,,,
3500,,,,,,47,3,1,1078.5596,1.0746,1.5744,5.0315,1.5996,125.737,48.6921,118.0149,-5.0642,0.8745,119.1082,0.1844
3930,,,524,-152.2481,18.1892,,,,,,,,,,,,,,,
4000,,,,,,48,3,1,1052.0271,1.0483,1.186,3.288,1.2024,85.5985,30.3037,77.5776,-3.505,1.3963,143.4011,0.0184
4067,,,137,-121.9608,17.077,,,,,,,,,,,,,,,
4132,,,65,-118.2257,17.8807,,,,,,,,,,,,,,,
4197,,,65,-115.1602,18.5961,,,,,,,,,,,,,,,
4330,,,133,-124.3423,18.9614,,,,,,,,,,,,,,,
4392,,,62,-115.8665,19.6035,,,,,,,,,,,,,,,
