env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-111.4964,103.2,,,,,,,,,,,,,
46,,,46,-110.1811,5.2003,,,,,,,,,,
112,,,66,-115.443,48.3474,,,,,,,,,,
156,,,44,-113.4199,42.2513,,,,,,,,,,
227,,,71,-116.9981,42.648,,,,,,,,,,
309,,,82,-116.9584,41.6808,,,,,,,,,,
371,,,62,-115.4439,45.9444,,,,,,,,,,
413,,,42,-118.4025,43.3002,,,,,,,,,,
500,,,,,,1.9896,0.8993,0.8176,0.6761,1.1896,2.1625,-0.7713,5.1671,10.1865,0.0111
557,,,144,-116.2595,45.31,,,,,,,,,,
637,,,80,-112.8867,47.456,,,,,,,,,,
682,,,45,-120.9039,47.662,,,,,,,,,,
752,,,70,-115.7985,46.4242,,,,,,,,,,
802,,,50,-116.1308,46.9835,,,,,,,,,,
957,,,155,-111.5642,45.6479,,,,,,,,,,
1000,,,,,,2.2249,0.7106,0.9205,-0.2433,1.1212,2.1384,-0.8776,1.8946,13.7635,0.0285
1042,,,85,-103.9453,43.8532,,,,,,,,,,
1176,,,134,-113.5558,43.5937,,,,,,,,,,
1255,,,79,-100.9909,40.9105,,,,,,,,,,
1304,,,49,-106.4707,41.6975,,,,,,,,,,
1370,,,66,-104.0017,42.2516,,,,,,,,,,
1435,,,65,-103.3962,41.6274,,,,,,,,,,
1500,,,,,,2.5849,0.9199,1.1283,0.371,0.5594,2.3079,-1.1502,2.0459,15.9759,0.0222
1506,,,71,-106.5329,39.0982,,,,,,,,,,
1572,,,66,-104.8046,40.5867,,,,,,,,,,
1629,,,57,-105.1509,38.3542,,,,,,,,,,
1680,,,51,-106.6529,39.6568,,,,,,,,,,
1737,,,57,-122.5495,40.472,,,,,,,,,,
1799,,,62,-104.3765,40.0423,,,,,,,,,,
1860,,,61,-103.7324,41.7551,,,,,,,,,,
1911,,,51,-106.7112,41.7014,,,,,,,,,,
1962,,,51,-103.8712,48.9083,,,,,,,,,,
2000,,,,,,2.3679,1.3056,0.9833,1.2814,0.4968,2.5172,-0.9599,0.8466,9.684,0.0623
2017,,,55,-106.1061,49.0132,,,,,,,,,,
2074,,,57,-105.4895,47.2999,,,,,,,,,,
2132,,,58,-106.7335,41.7274,,,,,,,,,,
2180,,,48,-104.6234,38.3483,,,,,,,,,,
2232,,,52,-105.976,39.7708,,,,,,,,,,
2293,,,61,-106.8156,40.8724,,,,,,,,,,
2340,,,47,-103.492,39.934,,,,,,,,,,
2409,,,69,-103.6138,39.8746,,,,,,,,,,
2456,,,47,-107.1395,39.6735,,,,,,,,,,
2500,,,,,,2.171,0.9368,0.9314,1.6585,0.7942,1.6061,-0.8966,2.5178,23.7181,0.1316
2530,,,74,-105.4663,39.551,,,,,,,,,,
2610,,,80,-102.9746,40.3863,,,,,,,,,,
2663,,,53,-106.5247,39.9324,,,,,,,,,,
2726,,,63,-101.6456,42.1269,,,,,,,,,,
2818,,,92,-103.042,41.7566,,,,,,,,,,
2886,,,68,-104.231,41.9549,,,,,,,,,,
2993,,,107,-105.0676,39.211,,,,,,,,,,
3000,,,,,,2.184,1.1265,0.9527,2.9727,2.0345,1.7032,-0.9152,3.6319,24.545,0.0831
3062,,,69,-102.2544,42.1547,,,,,,,,,,
3117,,,55,-105.4806,40.7469,,,,,,,,,,
3167,,,50,-106.544,41.707,,,,,,,,,,
3223,,,56,-107.1837,42.3013,,,,,,,,,,
3305,,,82,-105.1971,41.6166,,,,,,,,,,
3369,,,64,-103.273,41.3387,,,,,,,,,,
3422,,,53,-107.1351,41.2076,,,,,,,,,,
3493,,,71,-104.7494,39.5831,,,,,,,,,,
