env_steps,return,length,train/length,train/return,FPS,fkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-81.7847,547.2,,,,,,,,,,
151,,,151,-127.7567,14.284,,,,,,,
232,,,81,-117.6923,82.7928,,,,,,,
279,,,47,-120.6234,82.7543,,,,,,,
412,,,133,-121.6511,82.4375,,,,,,,
461,,,49,-120.2751,81.161,,,,,,,
500,,,,,,28.8001,29.0212,105.7975,28.8001,10.4449,6.8288,0.0003
509,,,48,-120.795,81.673,,,,,,,
569,,,60,-118.0885,80.3903,,,,,,,
610,,,41,-118.7615,82.2266,,,,,,,
660,,,50,-120.5782,85.242,,,,,,,
755,,,95,-122.392,82.9439,,,,,,,
1000,,,,,,40.3819,40.7627,93.1266,40.3819,29.2137,21.514,0.0002
1338,,,583,-167.1568,83.7558,,,,,,,
1437,,,99,-120.3145,83.3816,,,,,,,
1500,,,,,,45.3059,45.9314,88.8503,45.3059,8.1698,10.1529,0.026
2000,,,,,,50.6022,51.5608,91.6496,50.6022,0.8296,19.647,0.0488
