env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-81.7847,547.2,,,,,,,,,,
90,,,90,-113.9104,7.9696,,,,,,,
191,,,101,-122.2672,90.5287,,,,,,,
232,,,41,-114.7376,90.2142,,,,,,,
279,,,47,-119.9254,89.5806,,,,,,,
387,,,108,-119.0733,90.3227,,,,,,,
453,,,66,-114.623,90.4465,,,,,,,
500,,,,,,38.8578,39.8277,312.4385,38.8578,7.4031,6.0687,0.0036
520,,,67,-115.4907,88.984,,,,,,,
570,,,50,-110.8288,91.9203,,,,,,,
610,,,40,-113.9809,94.289,,,,,,,
653,,,43,-109.0268,94.2672,,,,,,,
723,,,70,-112.5174,92.1512,,,,,,,
815,,,92,-111.7863,90.5175,,,,,,,
