env_steps,return,length,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-49.1116,1000.0,,,,,,,,,,,,,,,
500,,,50,45,8,110.8392,179.3728,-40.4035,-40.9215,179.1176,958.1801,0.2343,2.8818,0.0001,,,
1000,,,50,50,16,58.2659,262.809,-35.7748,-41.7163,263.6434,1421.0568,0.303,2.9192,0.0435,,,
1000,,,,,,,,,,,,,,,1000,-322.3208,19.5758
1500,,,50,50,18,55.7357,295.3668,-40.9539,-43.0065,297.3608,1002.5197,0.3683,2.0179,0.0697,,,
2000,,,50,50,17,72.4393,326.1397,-43.1901,-43.5627,328.4174,1127.4818,0.3404,2.5857,0.0842,,,
2000,,,,,,,,,,,,,,,1000,-375.7162,21.3675
2500,,,50,50,18,86.4455,398.4855,-43.6752,-43.8587,400.7817,1659.6085,0.5252,2.8237,0.1275,,,
3000,,,50,48,18,105.8326,366.706,-43.949,-43.996,368.4803,1589.819,0.5202,3.7185,0.1795,,,
3000,,,,,,,,,,,,,,,1000,-91.6587,21.2854
3500,,,50,40,17,126.373,382.3387,-44.0559,-44.1168,383.5369,1812.7227,0.5408,3.2954,0.2121,,,
4000,,,50,39,17,132.3258,411.2122,-44.1034,-44.1323,411.5548,2787.647,0.5121,6.6904,0.2896,,,
4000,,,,,,,,,,,,,,,1000,29.278,20.7369
4500,,,50,38,17,139.6336,445.6744,-44.1307,-44.1509,445.0956,3128.8574,0.575,8.8971,0.4078,,,
5000,,,50,34,17,159.1609,463.6895,-44.1435,-44.1635,462.9206,2981.4543,0.5723,6.9912,0.3485,,,
5000,-311.4502,1000.0,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,1000,65.7551,16.7871
5500,,,50,35,17,163.9635,501.6213,-44.1673,-44.1664,499.0998,4073.3984,0.6289,9.644,0.7919,,,
6000,,,50,36,18,156.0269,464.1959,-44.1689,-44.1733,460.0743,4539.2612,0.6752,12.3279,0.5995,,,
6000,,,,,,,,,,,,,,,1000,602.9629,21.2545
6500,,,50,35,17,167.7803,489.9847,-44.1768,-44.1757,485.1294,3546.0815,0.6478,10.8671,0.7298,,,
7000,,,50,38,18,152.9011,539.0968,-44.1785,-44.1774,530.7719,7175.3511,0.6899,18.6868,0.7246,,,
7000,,,,,,,,,,,,,,,1000,590.435,21.8373
7500,,,50,38,18,150.7468,462.6277,-44.1759,-44.1787,452.8331,5745.5181,0.7155,8.5245,0.8048,,,
8000,,,50,39,19,145.4405,544.38,-44.1802,-44.1797,532.4072,5865.543,0.8372,22.3878,0.8765,,,
8000,,,,,,,,,,,,,,,1000,712.487,21.0327
8500,,,50,40,18,145.4915,541.0261,-44.1806,-44.181,527.4319,4920.6074,0.8287,19.1008,1.4466,,,
9000,,,50,38,18,155.641,534.7694,-44.1812,-44.1811,519.8655,8967.3242,0.7554,15.3538,0.8912,,,
9000,,,,,,,,,,,,,,,1000,867.9745,21.7841
9500,,,50,41,19,146.9958,569.9198,-44.1809,-44.1818,552.0688,6416.0288,0.7897,15.6306,1.2373,,,
10000,,,50,39,18,149.6529,551.2217,-44.1814,-44.182,531.8046,5678.8735,0.8078,14.8422,1.2109,,,
10000,2301.0073,1000.0,,,,,,,,,,,,,,,
10000,,,,,,,,,,,,,,,1000,1024.2723,16.9366
10500,,,50,41,19,139.8862,571.3165,-44.1808,-44.1822,548.4421,7780.8574,0.8657,17.5885,1.5644,,,
11000,,,50,42,19,140.2132,566.4379,-44.1817,-44.1822,540.7814,8593.2383,0.903,22.1697,1.4065,,,
11000,,,,,,,,,,,,,,,1000,1208.1678,22.1075
11500,,,50,40,19,143.1856,571.9171,-44.1819,-44.1823,544.0493,7473.5132,0.9822,27.7808,1.3345,,,
12000,,,50,42,19,139.8976,563.5742,-44.1815,-44.1823,532.9641,6847.6021,1.2667,34.3862,1.5649,,,
12000,,,,,,,,,,,,,,,1000,1456.4772,22.6116
12500,,,50,44,19,127.1897,550.1452,-44.1818,-44.1823,515.2783,6919.2651,1.2592,28.0192,1.3969,,,
13000,,,50,42,19,136.5345,586.4759,-44.1818,-44.1823,549.9384,9918.9092,1.1097,24.4532,1.0592,,,
13000,,,,,,,,,,,,,,,1000,1287.0285,22.3092
13500,,,50,43,19,131.9992,550.1388,-44.1821,-44.1823,510.0671,7807.0742,1.2854,32.2171,2.0315,,,
14000,,,50,45,19,134.3701,597.0636,-44.1818,-44.1823,553.9303,10815.4668,1.133,31.2027,1.9497,,,
14000,,,,,,,,,,,,,,,1000,1512.2763,21.4972
14500,,,50,43,19,135.219,555.64,-44.1819,-44.1823,508.6285,7944.8979,1.7365,31.3833,2.3278,,,
15000,,,50,46,19,120.9668,556.3076,-44.1821,-44.1823,505.6675,8529.9824,1.4514,32.2188,1.8552,,,
15000,3369.3114,1000.0,,,,,,,,,,,,,,,
15000,,,,,,,,,,,,,,,1000,1712.7217,16.5098
15500,,,50,45,19,129.1235,586.3918,-44.1817,-44.1823,532.1663,11992.7578,1.6029,63.27,2.3261,,,
16000,,,50,46,19,122.5281,530.2273,-44.1823,-44.1823,471.4506,13262.1279,1.9924,41.2474,2.3726,,,
