env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,158.2148,33.8,,,,,,,,,,,,,,
18,,,18,87.2824,6.2301,,,,,,,,,,,
32,,,14,66.8683,6.1388,,,,,,,,,,,
47,,,15,71.5301,6.4244,,,,,,,,,,,
61,,,14,66.5959,6.4938,,,,,,,,,,,
76,,,15,71.3904,7.5048,,,,,,,,,,,
91,,,15,71.6513,6.2909,,,,,,,,,,,
105,,,14,66.6568,6.2722,,,,,,,,,,,
120,,,15,71.3491,6.8242,,,,,,,,,,,
135,,,15,71.4701,6.7604,,,,,,,,,,,
151,,,16,76.4305,5.9618,,,,,,,,,,,
170,,,19,92.4608,7.1907,,,,,,,,,,,
198,,,28,125.5411,6.9704,,,,,,,,,,,
240,,,42,189.5312,7.4673,,,,,,,,,,,
262,,,22,102.2298,5.9834,,,,,,,,,,,
285,,,23,104.7328,8.5179,,,,,,,,,,,
301,,,16,76.3395,6.7917,,,,,,,,,,,
337,,,36,159.471,7.0018,,,,,,,,,,,
386,,,49,228.2713,7.1041,,,,,,,,,,,
408,,,22,101.1593,8.7434,,,,,,,,,,,
431,,,23,109.6865,6.9884,,,,,,,,,,,
463,,,32,151.1208,6.2584,,,,,,,,,,,
497,,,34,159.8261,6.5875,,,,,,,,,,,
500,,,,,,50,50,3,22.9599,-16.1031,1.744,0.1993,-0.9081,0.8923,5.5424,0.5798
518,,,21,100.7733,7.1744,,,,,,,,,,,
546,,,28,129.0955,7.4567,,,,,,,,,,,
591,,,45,208.9919,7.2553,,,,,,,,,,,
625,,,34,156.7438,8.2894,,,,,,,,,,,
668,,,43,196.7127,8.0551,,,,,,,,,,,
716,,,48,238.889,8.0728,,,,,,,,,,,
737,,,21,104.4918,6.2509,,,,,,,,,,,
775,,,38,187.9874,6.223,,,,,,,,,,,
819,,,44,212.7225,6.4089,,,,,,,,,,,
858,,,39,177.2238,6.4869,,,,,,,,,,,
892,,,34,160.1543,8.777,,,,,,,,,,,
915,,,23,114.9812,9.8443,,,,,,,,,,,
962,,,47,199.1698,7.2547,,,,,,,,,,,
981,,,19,92.8083,6.2152,,,,,,,,,,,
1000,,,,,,50,50,10,20.0104,-27.1116,1.5328,0.2236,-1.3368,0.7445,11.855,0.2409
1010,,,29,144.5573,7.4212,,,,,,,,,,,
1060,,,50,228.7581,6.4781,,,,,,,,,,,
1118,,,58,283.7645,6.5985,,,,,,,,,,,
1179,,,61,311.0587,6.8496,,,,,,,,,,,
1229,,,50,245.073,7.9625,,,,,,,,,,,
1288,,,59,309.9189,6.5281,,,,,,,,,,,
1310,,,22,109.3543,7.218,,,,,,,,,,,
1350,,,40,199.0261,7.2639,,,,,,,,,,,
1389,,,39,193.4088,6.822,,,,,,,,,,,
1434,,,45,236.2659,7.0584,,,,,,,,,,,
1466,,,32,148.3342,7.6531,,,,,,,,,,,
1495,,,29,132.9738,6.8591,,,,,,,,,,,
1500,,,,,,50,50,23,16.9914,-37.6918,3.7366,0.2435,-1.7398,1.6887,30.917,0.4384
1541,,,46,222.1772,7.9461,,,,,,,,,,,
1572,,,31,151.6322,7.8902,,,,,,,,,,,
1597,,,25,124.6305,7.033,,,,,,,,,,,
1625,,,28,125.3378,6.4858,,,,,,,,,,,
1658,,,33,166.1071,8.2793,,,,,,,,,,,
1705,,,47,243.1709,6.4198,,,,,,,,,,,
1732,,,27,126.5938,7.152,,,,,,,,,,,
1765,,,33,158.2052,6.977,,,,,,,,,,,
1792,,,27,124.9769,6.1968,,,,,,,,,,,
