env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-7562.1971,500.0,,,,,,,,,,
500,,,34.3378,3468.3289,53873.1914,34.3378,8.4875,52.0161,0.0001,,,
500,,,,,,,,,,500,-6446.4864,43.5376
1000,,,67.0374,6759.5767,128926.3906,67.0374,5.7018,116.9921,0.0093,,,
1000,,,,,,,,,,500,-5037.4979,72.4244
1500,,,105.2827,10605.9756,147194.0156,105.2827,19.645,39.5004,0.1925,,,
1500,,,,,,,,,,500,-5896.4203,73.08
2000,,,145.0261,14602.459,143858.1094,145.0261,24.2706,242.0498,0.2294,,,
2000,,,,,,,,,,500,-4130.3741,74.4204
2500,,,173.8917,17509.1348,172791.2656,173.8917,21.327,242.6341,0.4413,,,
2500,,,,,,,,,,500,-3196.9686,78.6957
3000,,,207.2784,20860.7148,143877.2031,207.2784,182.9039,495.5866,0.4585,,,
3000,,,,,,,,,,500,-3952.2767,76.7307
3500,,,252.3143,25385.7168,113203.375,252.3143,103.0003,269.5765,1.1883,,,
3500,,,,,,,,,,500,-4609.628,77.505
4000,,,280.8721,28253.1836,258574.3594,280.8721,17.3784,225.6102,0.8405,,,
4000,,,,,,,,,,500,-5987.3361,79.1475
4500,,,300.2296,30203.793,156532.8906,300.2296,99.1595,895.4961,0.4725,,,
4500,,,,,,,,,,500,-8137.2308,79.5259
5000,,,333.6495,33555.832,132592.5156,333.6495,119.5018,506.4833,0.7135,,,
5000,-10445.3321,500.0,,,,,,,,,,
5000,,,,,,,,,,500,-7646.0393,56.8162
5500,,,399.7422,40177.5508,166980.3281,399.7422,38.2816,613.08,0.9448,,,
5500,,,,,,,,,,500,-7727.1005,76.1282
6000,,,485.7802,48792.3008,153974.4219,485.7802,152.2039,766.6591,1.0605,,,
6000,,,,,,,,,,500,-3875.5802,77.1336
6500,,,620.6103,62287.8359,185059.7812,620.6103,58.9846,1276.6554,1.0974,,,
6500,,,,,,,,,,500,-5627.5476,78.4848
7000,,,799.2372,80155.2109,288521.875,799.2372,106.0419,1207.0604,0.9268,,,
7000,,,,,,,,,,500,-3810.8731,72.8808
7500,,,1049.7948,105231.3906,293327.3125,1049.7948,233.5557,1117.2063,1.394,,,
7500,,,,,,,,,,500,-3615.1567,73.7383
8000,,,1437.3595,143993.2969,422378.2812,1437.3595,70.1417,1175.3748,1.0218,,,
8000,,,,,,,,,,500,-5359.2822,79.1333
8500,,,1785.1191,178793.0781,409207.6562,1785.1191,151.8308,2543.4004,1.9147,,,
8500,,,,,,,,,,500,-6783.109,74.1412
9000,,,2299.9031,230276.1875,685360.75,2299.9031,81.4275,2542.2329,1.1549,,,
9000,,,,,,,,,,500,-8170.2734,72.768
9500,,,3054.3223,305731.75,683495.4375,3054.3223,104.3201,3017.5713,0.7143,,,
9500,,,,,,,,,,500,-2203.0763,75.3428
10000,,,3848.9573,385213.8125,1170319.875,3848.9573,407.0486,5821.2246,0.5592,,,
10000,-12862.03,500.0,,,,,,,,,,
10000,,,,,,,,,,500,-4265.7379,55.1068
10500,,,4679.1787,468249.375,1478290.625,4679.1787,432.504,5659.0938,0.8318,,,
10500,,,,,,,,,,500,-6291.436,72.8849
11000,,,5732.7734,573617.8125,1820709.5,5732.7734,304.0367,5118.6152,1.0021,,,
11000,,,,,,,,,,500,-1990.1627,67.8838
11500,,,6287.084,629061.5,1501248.375,6287.084,297.0944,4399.3096,1.3198,,,
11500,,,,,,,,,,500,-4404.6462,70.8884
12000,,,7075.2554,707893.8125,2058019.0,7075.2554,327.916,3234.2031,1.4541,,,
12000,,,,,,,,,,500,-2877.6676,75.8824
12500,,,8030.1987,803400.5625,3372418.75,8030.1987,88.1858,2727.2129,1.2734,,,
12500,,,,,,,,,,500,-3036.641,72.7725
13000,,,9067.2744,907109.0625,3706664.5,9067.2744,253.1182,7172.1147,1.1823,,,
13000,,,,,,,,,,500,-2050.6565,72.6905
13500,,,9395.1094,939903.0,4442031.5,9395.1094,93.4683,4385.4395,0.8759,,,
13500,,,,,,,,,,500,-4256.5565,76.3374
14000,,,10102.5654,1010667.5625,3817625.5,10102.5654,296.2385,5500.6211,0.9806,,,
14000,,,,,,,,,,500,-3639.8294,75.6235
14500,,,11673.6602,1167780.625,4940887.0,11673.6602,316.6318,11916.5293,0.9824,,,
14500,,,,,,,,,,500,-5623.3847,76.7076
15000,,,11253.8506,1125805.75,5664905.5,11253.8506,183.7474,6434.418,1.4624,,,
15000,-12106.9171,500.0,,,,,,,,,,
15000,,,,,,,,,,500,-4958.1542,53.1078
15500,,,11593.7061,1159802.5,7321501.0,11593.7061,150.8678,8904.9473,0.9525,,,
15500,,,,,,,,,,500,-3150.9704,74.7252
16000,,,12868.8779,1287316.875,7005430.5,12868.8779,133.4998,6706.0552,1.7822,,,
16000,,,,,,,,,,500,-4854.8531,71.626
16500,,,12937.876,1294227.875,6350187.0,12937.876,314.2748,6152.7471,1.4891,,,
16500,,,,,,,,,,500,-3891.9929,70.5366
17000,,,12486.3867,1249100.375,7334173.0,12486.3867,578.5691,16860.4512,1.5983,,,
17000,,,,,,,,,,500,-5698.9448,70.6036
17500,,,14054.6016,1405903.625,7847403.0,14054.6016,161.9383,3586.0615,1.7529,,,
17500,,,,,,,,,,500,-3875.0608,70.9458
18000,,,14318.6689,1432321.125,10360995.0,14318.6689,229.3008,8191.5137,1.1277,,,
18000,,,,,,,,,,500,-4241.9156,71.7786
18500,,,15913.3203,1591788.25,17050554.0,15913.3203,194.5377,6157.104,1.3601,,,
18500,,,,,,,,,,500,-3809.0152,72.7425
19000,,,15725.0693,1572971.5,11251760.0,15725.0693,149.7731,8575.0049,1.9612,,,
19000,,,,,,,,,,500,-2272.031,78.2058
19500,,,14170.8135,1417555.375,7471774.0,14170.8135,172.4491,4306.9736,1.7535,,,
19500,,,,,,,,,,500,-3914.0106,74.1023
20000,,,15636.627,1564134.875,8627110.0,15636.627,234.1989,12842.3311,2.4272,,,
20000,-12721.1332,500.0,,,,,,,,,,
20000,,,,,,,,,,500,-3322.2746,55.1384
20500,,,15807.9922,1581281.5,9340581.0,15807.9922,320.0916,9070.7568,2.7301,,,
20500,,,,,,,,,,500,-2894.3047,71.9254
21000,,,16323.3389,1632823.25,16139669.0,16323.3389,150.4124,3967.981,1.782,,,
21000,,,,,,,,,,500,-2205.8801,75.0893
21500,,,16045.1387,1604999.125,10203515.0,16045.1387,375.9135,12928.6738,3.2902,,,
21500,,,,,,,,,,500,-3455.5361,73.697
22000,,,15644.166,1564923.125,13172709.0,15644.166,453.1615,6690.6992,1.5007,,,
22000,,,,,,,,,,500,-2388.4011,71.9592
22500,,,16254.9072,1625993.375,17643664.0,16254.9072,96.6838,4272.0054,1.8931,,,
22500,,,,,,,,,,500,-2768.375,70.6029
23000,,,16995.6836,1700061.125,15485260.0,16995.6836,156.4082,10163.0566,1.7873,,,
23000,,,,,,,,,,500,-4961.9569,73.2785
23500,,,16622.0254,1662705.625,10365326.0,16622.0254,332.0456,5309.1177,2.2605,,,
23500,,,,,,,,,,500,-1626.1451,76.5929
24000,,,15416.1211,1542120.0,15942642.0,15416.1211,410.2847,5248.6084,2.5593,,,
24000,,,,,,,,,,500,-4279.4473,75.5783
24500,,,17166.8047,1717175.5,21886576.0,17166.8047,398.9482,8981.7236,1.8848,,,
24500,,,,,,,,,,500,-4147.5876,74.3477
25000,,,16884.3828,1688952.625,12646034.0,16884.3828,390.5863,3720.7017,2.3247,,,
25000,-15034.0686,500.0,,,,,,,,,,
25000,,,,,,,,,,500,-3535.9804,55.4071
25500,,,15860.2227,1586542.875,15846510.0,15860.2227,148.6764,9584.2861,1.6672,,,
25500,,,,,,,,,,500,-3793.4673,72.0971
26000,,,15912.5596,1591766.125,12126348.0,15912.5596,704.6708,13877.4902,2.7736,,,
26000,,,,,,,,,,500,-3452.4226,75.2781
26500,,,16906.6641,1691180.25,16057463.0,16906.6641,195.3016,6178.3896,1.4669,,,
26500,,,,,,,,,,500,-4373.1063,76.0768
27000,,,16795.6465,1680088.0,23563834.0,16795.6465,367.6061,12121.0742,2.4375,,,
27000,,,,,,,,,,500,-3944.8102,74.8442
27500,,,15985.1846,1599040.5,19800466.0,15985.1846,128.0732,9585.5645,2.8749,,,
27500,,,,,,,,,,500,-3142.4634,72.0555
28000,,,16958.291,1696359.875,12323096.0,16958.291,396.2269,5651.1289,2.5252,,,
28000,,,,,,,,,,500,-4137.2555,76.3907
28500,,,15388.416,1539372.625,13776651.0,15388.416,133.2051,11376.8447,2.4083,,,
28500,,,,,,,,,,500,-2336.4788,70.5237
29000,,,16204.9209,1621014.125,21776132.0,16204.9209,986.328,6241.0093,2.7015,,,
29000,,,,,,,,,,500,-2864.0401,70.4479
29500,,,16586.6094,1659179.625,20071988.0,16586.6094,264.5789,11503.2158,1.8004,,,
29500,,,,,,,,,,500,-4258.4,74.1009
30000,,,16618.0352,1662336.0,18034872.0,16618.0352,427.7645,8176.4678,2.4301,,,
30000,-16388.5346,500.0,,,,,,,,,,
