env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,782.9474,941.5,,,,,,,,,,
37,,,37,-54.1729,7.1174,,,,,,,
64,,,27,-38.3684,89.0137,,,,,,,
214,,,150,-273.7402,89.3535,,,,,,,
500,,,,,,224.4169,226.382,430.2173,224.4169,0.5959,1.0473,1.3687
1000,,,,,,514.4054,515.9567,630.1807,514.4054,1.0753,3.0843,0.3656
1214,,,1000,-1413.5761,90.549,,,,,,,
1231,,,17,-17.4739,89.66,,,,,,,
1281,,,50,-60.0437,90.159,,,,,,,
1310,,,29,-45.1407,90.1891,,,,,,,
1357,,,47,-75.7976,89.1028,,,,,,,
1456,,,99,-135.7809,89.8391,,,,,,,
1467,,,11,-11.9556,89.0404,,,,,,,
1500,,,,,,700.7263,702.5494,1377.5149,700.7263,1.3411,12.0811,0.5326
2000,,,,,,721.806,723.1512,2374.5127,721.806,1.429,18.0858,0.855
2467,,,1000,-1173.124,90.0299,,,,,,,
2500,,,,,,713.9033,714.4502,2277.9807,713.9033,1.4707,22.6688,0.8566
2551,,,84,-76.5475,89.954,,,,,,,
2584,,,33,-41.8583,90.1436,,,,,,,
2631,,,47,-43.3944,89.5455,,,,,,,
3000,,,,,,753.0529,752.624,2358.0652,753.0529,1.4323,43.0341,1.1024
3500,,,,,,823.2064,821.9016,3229.1423,823.2064,1.4779,33.6127,1.0864
3631,,,1000,-1089.1235,90.205,,,,,,,
3660,,,29,-13.0078,95.6103,,,,,,,
3797,,,137,-179.6267,95.8163,,,,,,,
3837,,,40,-52.3272,95.6259,,,,,,,
3939,,,102,-94.2284,95.8529,,,,,,,
4000,,,,,,898.5811,896.2793,3614.0154,898.5811,1.8136,125.3199,1.1349
4113,,,174,-257.473,95.6809,,,,,,,
4146,,,33,-8.3299,95.5973,,,,,,,
4167,,,21,-29.682,95.4982,,,,,,,
4500,,,,,,1020.6373,1017.2119,3922.0359,1020.6373,1.582,107.3906,1.4422
5000,,,,,,1064.4625,1059.92,3552.4761,1064.4625,1.7578,104.6658,1.4299
5000,480.8549,727.8,,,,,,,,,,
5167,,,1000,-1076.5213,73.2791,,,,,,,
5500,,,,,,1035.1154,1029.8621,3468.99,1035.1154,1.6597,51.3279,1.4192
6000,,,,,,998.0837,991.915,4389.8599,998.0837,1.514,52.712,1.5379
6167,,,1000,-1050.7882,91.3483,,,,,,,
6500,,,,,,1019.1898,1012.2653,6073.8794,1019.1898,1.9425,70.8343,1.725
7000,,,,,,1007.4904,1000.4239,5244.9868,1007.4904,1.623,67.2932,1.7942
7167,,,1000,-1071.537,95.3744,,,,,,,
7195,,,28,-17.276,95.4071,,,,,,,
7223,,,28,6.6204,95.2988,,,,,,,
7255,,,32,-50.1629,95.1736,,,,,,,
7288,,,33,-28.1149,95.0077,,,,,,,
7297,,,9,-7.931,95.1634,,,,,,,
7332,,,35,-22.043,95.1866,,,,,,,
7363,,,31,-21.7205,95.2907,,,,,,,
7381,,,18,-10.1998,95.4274,,,,,,,
7400,,,19,-22.01,94.9436,,,,,,,
7424,,,24,-32.2255,94.9746,,,,,,,
7500,,,,,,1065.4852,1056.9694,5922.4341,1065.4852,2.8912,73.8803,1.7012
7717,,,293,-341.4994,91.969,,,,,,,
7763,,,46,-65.6365,89.6073,,,,,,,
7790,,,27,-20.8747,89.3072,,,,,,,
7804,,,14,-11.7151,89.2573,,,,,,,
8000,,,,,,1092.7207,1083.2059,7963.6362,1092.7207,2.0164,66.3613,1.8439
8500,,,,,,1140.2531,1131.0131,8951.6816,1140.2531,1.9851,84.7978,1.8742
8804,,,1000,-1105.8113,91.1287,,,,,,,
8945,,,141,-146.1021,95.303,,,,,,,
9000,,,,,,1131.1558,1121.2024,6844.8013,1131.1558,2.3175,155.8228,2.0748
9027,,,82,-97.9593,95.3817,,,,,,,
9076,,,49,-82.8194,95.3675,,,,,,,
9141,,,65,-66.9342,95.4521,,,,,,,
9200,,,59,-31.3477,95.3041,,,,,,,
9221,,,21,1.9307,95.6538,,,,,,,
9244,,,23,-32.9262,95.1612,,,,,,,
9281,,,37,-49.0597,95.8018,,,,,,,
9315,,,34,-23.3554,95.0358,,,,,,,
9500,,,,,,1146.799,1136.0524,7640.6479,1146.799,2.7305,146.3189,1.9838
10000,,,,,,1155.3953,1144.7931,7962.8906,1155.3953,2.567,67.9744,2.0896
10000,875.367,1000.0,,,,,,,,,,
10315,,,1000,-978.5469,66.9642,,,,,,,
10341,,,26,-28.3559,89.4119,,,,,,,
10365,,,24,-22.0435,89.3875,,,,,,,
10400,,,35,14.1895,89.0875,,,,,,,
10500,,,,,,1079.4891,1067.7137,10655.2715,1079.4891,2.627,144.0934,1.8397
11000,,,,,,1125.1913,1114.052,8963.0566,1125.1913,2.3913,169.3762,2.39
11400,,,1000,-1034.1413,90.2104,,,,,,,
11451,,,51,-49.9172,95.0151,,,,,,,
11500,,,,,,1145.9343,1133.5934,6064.4395,1145.9343,2.289,69.9077,2.1935
11509,,,58,-50.0658,94.7998,,,,,,,
11604,,,95,-85.8072,94.6146,,,,,,,
11665,,,61,-40.2059,89.4562,,,,,,,
11780,,,115,-71.0838,94.7435,,,,,,,
11859,,,79,-55.362,93.8408,,,,,,,
