env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,994.0056,1000.0,,,,,,,,,,
36,,,36,-29.7618,8.0199,,,,,,,
48,,,12,-21.8895,95.1372,,,,,,,
97,,,49,-39.8738,94.5488,,,,,,,
134,,,37,-38.6743,97.0191,,,,,,,
149,,,15,-16.4826,101.6394,,,,,,,
178,,,29,-26.5098,101.3302,,,,,,,
228,,,50,-51.5797,100.0099,,,,,,,
272,,,44,-52.5103,94.4476,,,,,,,
296,,,24,-24.0394,94.4437,,,,,,,
306,,,10,-7.376,95.6878,,,,,,,
451,,,145,-159.8825,95.3827,,,,,,,
491,,,40,-87.4471,94.9326,,,,,,,
500,,,,,,0.1167,-2.2602,0.5364,0.1167,1.212,2.0875,0.4225
596,,,105,-52.0402,94.7588,,,,,,,
613,,,17,-28.9755,92.6545,,,,,,,
1000,,,,,,0.1437,-8.7093,1.2588,0.1437,3.827,13.7373,1.0152
1500,,,,,,0.1663,-14.3924,3.405,0.1663,5.4615,34.6857,1.1291
1613,,,1000,-1069.8663,95.2931,,,,,,,
1634,,,21,-22.5813,95.1959,,,,,,,
1671,,,37,-41.7438,94.7251,,,,,,,
1731,,,60,-56.9215,94.3711,,,,,,,
1774,,,43,-66.9407,94.9383,,,,,,,
1824,,,50,-63.4995,94.8406,,,,,,,
1953,,,129,-102.858,95.0212,,,,,,,
2000,,,,,,0.1633,-22.0493,5.5924,0.1633,6.6424,42.7297,1.5562
2040,,,87,-115.6784,95.0385,,,,,,,
2068,,,28,-12.4308,95.3017,,,,,,,
2136,,,68,-31.5938,97.4875,,,,,,,
2148,,,12,-2.6338,101.9369,,,,,,,
2182,,,34,-53.8762,101.1517,,,,,,,
2290,,,108,-207.1633,100.2853,,,,,,,
2299,,,9,-14.0857,95.2979,,,,,,,
2500,,,,,,0.1655,-31.9926,7.1847,0.1655,12.218,93.0833,2.4792
3000,,,,,,0.1578,-43.1387,9.0017,0.1578,14.4522,230.5819,2.8087
3299,,,1000,-1199.4244,95.002,,,,,,,
3500,,,,,,0.1452,-54.2032,10.1515,0.1452,22.1578,260.8581,2.9512
3505,,,206,-167.7991,94.7685,,,,,,,
3699,,,194,-256.6485,94.9978,,,,,,,
3791,,,92,-109.5541,94.8823,,,,,,,
3853,,,62,-74.1134,94.8386,,,,,,,
3921,,,68,-76.0455,94.8001,,,,,,,
3939,,,18,-14.8931,94.0004,,,,,,,
3967,,,28,-10.3842,95.1365,,,,,,,
4000,,,,,,0.1396,-67.7588,13.0439,0.1396,37.4331,251.0094,5.5224
4019,,,52,-71.4502,94.7686,,,,,,,
4047,,,28,-19.7347,95.4649,,,,,,,
4074,,,27,-31.7005,95.7578,,,,,,,
4500,,,,,,0.1356,-83.4846,15.368,0.1356,38.5416,368.046,4.0919
5000,,,,,,0.1239,-95.9998,18.4726,0.1239,45.5742,413.5434,5.8457
5000,470.7117,1000.0,,,,,,,,,,
5074,,,1000,-1393.3722,71.9864,,,,,,,
5162,,,88,-101.8533,94.5867,,,,,,,
5188,,,26,-32.453,94.8983,,,,,,,
5199,,,11,-14.0155,94.7457,,,,,,,
5275,,,76,-66.4753,94.5024,,,,,,,
5332,,,57,-28.9128,93.9558,,,,,,,
5366,,,34,-17.1029,94.7833,,,,,,,
5498,,,132,-182.0431,95.1261,,,,,,,
5500,,,,,,0.1272,-116.2078,27.6393,0.1272,77.9334,926.6827,10.433
5575,,,77,-33.6856,94.8918,,,,,,,
5824,,,249,-258.9774,96.4693,,,,,,,
5844,,,20,-18.0586,94.725,,,,,,,
5923,,,79,-91.3695,95.0407,,,,,,,
5994,,,71,-68.6863,96.189,,,,,,,
6000,,,,,,0.1257,-133.346,22.9877,0.1257,85.6711,843.7243,6.3699
6146,,,152,-165.7133,101.2364,,,,,,,
6184,,,38,-37.2091,101.1098,,,,,,,
6206,,,22,-39.6523,101.3001,,,,,,,
6312,,,106,-101.1257,101.1741,,,,,,,
6331,,,19,-13.2736,100.7881,,,,,,,
6378,,,47,-46.0326,100.9651,,,,,,,
6500,,,,,,0.1263,-167.1093,36.0724,0.1263,147.4413,1812.8712,6.5593
6522,,,144,-165.4963,94.7818,,,,,,,
6552,,,30,-30.8214,94.4112,,,,,,,
6670,,,118,-195.595,94.9296,,,,,,,
6849,,,179,-151.055,94.8282,,,,,,,
7000,,,,,,0.121,-175.597,32.8244,0.121,148.4719,1978.4982,15.7803
7054,,,205,-274.7328,94.8995,,,,,,,
7500,,,,,,0.1195,-195.5991,31.4156,0.1195,169.7546,1687.348,14.8343
8000,,,,,,0.1191,-211.8009,31.018,0.1191,150.4167,2280.8108,10.8699
8054,,,1000,-1265.3322,94.8165,,,,,,,
8171,,,117,-153.5836,94.4173,,,,,,,
8188,,,17,-22.1305,94.1412,,,,,,,
8229,,,41,-39.2363,94.5523,,,,,,,
8262,,,33,-27.9767,94.5784,,,,,,,
8326,,,64,-89.7154,94.3756,,,,,,,
8383,,,57,-38.7193,94.5116,,,,,,,
8435,,,52,-45.7165,94.6499,,,,,,,
8448,,,13,-10.0161,93.6994,,,,,,,
8481,,,33,-22.0139,94.6662,,,,,,,
8500,,,,,,0.1234,-247.8654,41.3109,0.1234,286.6381,4459.2432,12.8698
8667,,,186,-132.9364,99.4617,,,,,,,
8725,,,58,-121.4996,100.6702,,,,,,,
8872,,,147,-128.3535,100.1119,,,,,,,
8884,,,12,-9.5556,94.7216,,,,,,,
8980,,,96,-137.6512,94.1884,,,,,,,
9000,,,,,,0.1241,-267.417,41.146,0.1241,354.8864,2890.749,16.9043
9139,,,159,-156.3449,95.853,,,,,,,
9241,,,102,-111.0146,100.5526,,,,,,,
9314,,,73,-61.0714,99.7924,,,,,,,
9391,,,77,-35.3368,95.0843,,,,,,,
9500,,,,,,0.1331,-302.9534,41.8731,0.1331,424.0424,2902.5527,17.9881
9522,,,131,-203.5121,99.3705,,,,,,,
9622,,,100,-97.0188,94.4799,,,,,,,
9692,,,70,-79.8649,100.9484,,,,,,,
9747,,,55,-76.8436,100.5026,,,,,,,
9779,,,32,-33.4956,100.444,,,,,,,
9795,,,16,-15.1363,100.3821,,,,,,,
9910,,,115,-179.0716,96.7832,,,,,,,
9942,,,32,-26.7731,94.3727,,,,,,,
9960,,,18,-19.006,94.2474,,,,,,,
9976,,,16,-9.4403,94.685,,,,,,,
10000,,,,,,0.1377,-325.1931,52.4346,0.1377,523.433,4705.7178,18.8107
10000,-359.4874,834.8,,,,,,,,,,
10030,,,54,-33.1481,16.783,,,,,,,
10136,,,106,-189.1747,94.7286,,,,,,,
10209,,,73,-85.6802,94.5782,,,,,,,
10453,,,244,-305.3976,94.4181,,,,,,,
10470,,,17,-13.7275,94.4024,,,,,,,
10500,,,,,,0.1431,-378.5999,51.3912,0.1431,653.9434,7695.9282,29.6446
11000,,,,,,0.1483,-383.8254,54.7575,0.1483,499.9573,7269.0796,21.8999
11470,,,1000,-1331.0208,94.3713,,,,,,,
11500,,,,,,0.151,-409.5245,50.221,0.151,563.5807,8029.6592,25.5709
11547,,,77,-33.8917,94.3052,,,,,,,
11861,,,314,-493.6582,93.6309,,,,,,,
11876,,,15,-19.6038,98.0521,,,,,,,
11904,,,28,-47.5292,94.0178,,,,,,,
12000,,,,,,0.1626,-456.1836,62.7423,0.1626,870.607,9284.457,24.1384
12069,,,165,-188.3003,94.0273,,,,,,,
12098,,,29,-40.405,93.9671,,,,,,,
12253,,,155,-173.4631,93.5387,,,,,,,
12280,,,27,-41.4606,93.52,,,,,,,
12309,,,29,-30.3159,93.2418,,,,,,,
12333,,,24,-43.1978,93.6279,,,,,,,
12357,,,24,-32.2562,93.9222,,,,,,,
12385,,,28,-27.6469,94.0567,,,,,,,
12500,,,,,,0.1637,-464.1723,62.7716,0.1637,907.296,11804.2783,13.1868
13000,,,,,,0.158,-492.2483,59.371,0.158,1156.1278,14749.7539,20.2148
13385,,,1000,-1350.5742,94.2489,,,,,,,
13500,,,,,,0.157,-532.9088,75.9729,0.157,1045.1732,10431.7412,25.5872
14000,,,,,,0.1594,-568.1968,73.0247,0.1594,1143.6919,11745.293,28.8305
14385,,,1000,-1312.3657,95.4813,,,,,,,
14423,,,38,-52.0168,97.1884,,,,,,,
14500,,,,,,0.1436,-566.9791,70.1219,0.1436,1415.7477,19665.1172,31.4813
14583,,,160,-197.8238,97.9832,,,,,,,
14603,,,20,-19.7294,95.8709,,,,,,,
14679,,,76,-110.1232,100.8843,,,,,,,
15000,,,,,,0.1472,-630.3182,77.9532,0.1472,1469.7041,14415.291,34.4483
15000,-7.3643,1000.0,,,,,,,,,,
15500,,,,,,0.1394,-689.183,67.7107,0.1394,2513.4551,40155.3242,59.5316
15679,,,1000,-1297.6123,72.2898,,,,,,,
16000,,,,,,0.1382,-714.59,69.342,0.1382,2550.0503,22277.8203,47.0449
