env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,847.0479,983.2,,,,,,,,,,,,,
217,,,217,-254.8961,14.7022,,,,,,,,,,
314,,,97,-75.7831,26.2782,,,,,,,,,,
412,,,98,-112.9222,31.1376,,,,,,,,,,
439,,,27,-46.2181,26.9478,,,,,,,,,,
450,,,11,-18.2616,31.6996,,,,,,,,,,
495,,,45,-20.4101,28.6184,,,,,,,,,,
500,,,,,,1.7225,0.8925,0.3496,-0.566,0.7851,0.7037,-0.3404,0.5529,1.3616,0.7435
583,,,88,-125.935,27.2206,,,,,,,,,,
626,,,43,-36.684,26.7726,,,,,,,,,,
641,,,15,-24.3899,26.4774,,,,,,,,,,
671,,,30,-40.8441,26.7739,,,,,,,,,,
774,,,103,-137.9761,26.7702,,,,,,,,,,
816,,,42,-56.0892,26.6848,,,,,,,,,,
1000,,,,,,2.131,0.944,0.5256,-3.7691,1.1489,1.0284,-0.51,1.3049,1.6712,0.4324
1500,,,,,,2.3446,0.95,0.5765,-6.5362,1.6561,1.3272,-0.5335,1.2898,4.5244,0.5329
1816,,,1000,-1101.3006,27.4084,,,,,,,,,,
1916,,,100,-50.5141,26.1253,,,,,,,,,,
1959,,,43,-85.2647,26.1588,,,,,,,,,,
2000,,,,,,2.5218,0.9639,0.6083,-9.4696,2.1853,1.5481,-0.6083,1.6325,6.4846,0.9234
2020,,,61,-72.7874,26.0536,,,,,,,,,,
2199,,,179,-169.8768,26.1544,,,,,,,,,,
2227,,,28,-63.5002,26.8341,,,,,,,,,,
2280,,,53,-19.0002,26.6296,,,,,,,,,,
2317,,,37,-28.9579,26.2506,,,,,,,,,,
2347,,,30,-15.1761,26.734,,,,,,,,,,
2402,,,55,-16.3699,26.6163,,,,,,,,,,
2489,,,87,-138.2681,26.4993,,,,,,,,,,
2500,,,,,,2.8671,0.9635,0.6995,-12.9421,2.5219,2.1774,-0.678,2.5144,7.137,0.8415
2562,,,73,-48.8211,26.6881,,,,,,,,,,
3000,,,,,,3.0894,0.9535,0.7921,-15.8638,1.9274,2.5293,-0.768,2.5941,26.0874,1.0239
3500,,,,,,3.2136,0.97,0.8792,-18.7784,2.6604,2.6804,-0.8872,2.669,24.7738,1.1874
3562,,,1000,-991.443,27.3666,,,,,,,,,,
3579,,,17,-14.6321,26.7718,,,,,,,,,,
3606,,,27,-24.0633,26.7065,,,,,,,,,,
3628,,,22,-36.4457,26.2932,,,,,,,,,,
3643,,,15,-5.3488,26.6509,,,,,,,,,,
3650,,,7,-5.0182,26.3728,,,,,,,,,,
3672,,,22,-35.3571,26.2539,,,,,,,,,,
3702,,,30,-57.0795,26.2386,,,,,,,,,,
