env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-101.0885,148.9,,,,,,,,,,,,,
83,,,83,-108.603,10.384,,,,,,,,,,
146,,,63,-115.5583,88.6236,,,,,,,,,,
199,,,53,-114.9862,87.9855,,,,,,,,,,
300,,,101,-117.9877,88.1919,,,,,,,,,,
385,,,85,-116.1319,88.1838,,,,,,,,,,
468,,,83,-117.7646,87.9839,,,,,,,,,,
500,,,,,,0.2271,0.3345,0.1035,0.3972,0.1186,0.0524,-0.2008,1.1813,17.238,0.0558
531,,,63,-116.651,88.8346,,,,,,,,,,
575,,,44,-119.5193,92.4447,,,,,,,,,,
653,,,78,-113.0684,92.1449,,,,,,,,,,
1000,,,,,,0.3258,0.3335,0.142,0.2548,0.6458,0.0361,-0.2839,2.14,16.9274,0.3605
1212,,,559,-166.6032,88.7628,,,,,,,,,,
1402,,,190,-118.5252,88.237,,,,,,,,,,
1485,,,83,-109.1107,88.088,,,,,,,,,,
1500,,,,,,0.3489,0.3339,0.1495,-0.2945,0.8635,0.0327,-0.3087,11.5666,24.239,0.3731
1640,,,155,-111.2505,88.2066,,,,,,,,,,
1707,,,67,-113.6601,89.7613,,,,,,,,,,
1759,,,52,-112.3089,88.1311,,,,,,,,,,
1824,,,65,-113.5644,88.4182,,,,,,,,,,
1880,,,56,-113.0737,88.2433,,,,,,,,,,
1934,,,54,-105.1316,89.3332,,,,,,,,,,
2000,,,,,,0.3716,0.3348,0.1603,-0.9774,1.0861,0.0287,-0.3086,0.7374,12.9379,0.74
2055,,,121,-119.7881,88.5216,,,,,,,,,,
2113,,,58,-108.0175,88.4861,,,,,,,,,,
2213,,,100,-107.2454,88.4005,,,,,,,,,,
2500,,,,,,0.3807,0.3345,0.1773,-0.137,2.2695,0.0283,-0.3091,0.9212,10.0092,0.1269
2759,,,546,-141.9757,88.4417,,,,,,,,,,
2886,,,127,-119.3056,87.3611,,,,,,,,,,
2939,,,53,-111.2641,88.4867,,,,,,,,,,
3000,,,,,,0.3997,0.3352,0.1583,-0.1941,0.8143,0.0195,-0.3114,2.1269,18.9506,0.1534
3003,,,64,-112.2754,88.4394,,,,,,,,,,
3081,,,78,-114.1882,88.4075,,,,,,,,,,
3500,,,,,,0.4155,0.3348,0.1578,-0.3904,0.7982,0.0159,-0.3177,2.2138,13.5815,0.3012
4000,,,,,,0.4408,0.3342,0.1676,-0.1574,0.4431,0.0155,-0.3356,0.8976,7.5689,0.1142
4500,,,,,,0.4525,0.3345,0.1705,-1.0531,1.4359,0.0142,-0.3112,0.848,13.8309,0.4055
4681,,,1600,-146.1637,88.1575,,,,,,,,,,
5000,,,,,,0.4435,0.3358,0.1742,-1.2927,0.4731,0.0164,-0.3253,0.897,14.1309,0.2867
5000,-146.6175,1600.0,,,,,,,,,,,,,
5500,,,,,,0.4357,0.3339,0.1596,-1.9276,0.7406,0.0162,-0.2895,0.8625,11.8703,0.3632
6000,,,,,,0.4495,0.3368,0.1673,-0.9543,0.7318,0.0147,-0.3251,20.1344,19.4309,0.2245
6281,,,1600,-136.9008,72.4858,,,,,,,,,,
6500,,,,,,0.466,0.3352,0.1621,-1.2371,0.7681,0.0138,-0.2978,1.1515,32.5788,0.3069
7000,,,,,,0.4531,0.3338,0.3538,-1.3329,1.3808,0.075,-0.4037,0.3971,11.1226,0.1397
7500,,,,,,0.4572,0.3345,0.1699,-1.6702,0.6019,0.0185,-0.3263,0.4942,13.4107,0.2898
7881,,,1600,-135.4945,88.3984,,,,,,,,,,
8000,,,,,,0.4692,0.3348,0.2091,-1.215,0.5608,0.0248,-0.3251,0.3631,9.4777,0.4174
8500,,,,,,0.4528,0.3348,0.1659,-2.1421,1.3001,0.0181,-0.3257,0.4965,16.7083,0.2873
9000,,,,,,0.4494,0.3352,0.1556,-2.0745,4.4656,0.0174,-0.3122,2.4917,26.7809,0.445
9481,,,1600,-115.3022,90.4345,,,,,,,,,,
9500,,,,,,0.4419,0.3338,0.1508,-2.9474,2.3918,0.0185,-0.2898,0.8413,15.3976,0.529
9550,,,69,-100.993,91.8968,,,,,,,,,,
9614,,,64,-102.8139,91.8305,,,,,,,,,,
9676,,,62,-103.6318,91.9685,,,,,,,,,,
9731,,,55,-105.4824,91.9849,,,,,,,,,,
9801,,,70,-101.5553,91.8247,,,,,,,,,,
9863,,,62,-101.0086,91.944,,,,,,,,,,
9931,,,68,-101.2614,91.3188,,,,,,,,,,
9995,,,64,-99.6895,92.0405,,,,,,,,,,
10000,,,,,,0.4462,0.3348,0.1894,-1.9584,2.6088,0.0215,-0.342,1.7104,43.7084,0.6888
10000,-101.429,60.7,,,,,,,,,,,,,
10053,,,58,-99.945,73.8383,,,,,,,,,,
10111,,,58,-102.3034,88.9161,,,,,,,,,,
10168,,,57,-102.1839,88.3163,,,,,,,,,,
10230,,,62,-101.7615,88.0406,,,,,,,,,,
10287,,,57,-99.8008,88.0302,,,,,,,,,,
10376,,,89,-101.2542,88.1445,,,,,,,,,,
10447,,,71,-99.8127,84.7442,,,,,,,,,,
10500,,,,,,0.4527,0.3339,0.1827,-3.731,1.2305,0.015,-0.298,1.0537,19.321,0.7575
10516,,,69,-100.759,83.9337,,,,,,,,,,
10596,,,80,-104.0164,87.927,,,,,,,,,,
10662,,,66,-103.6641,87.6975,,,,,,,,,,
10759,,,97,-104.7193,91.1253,,,,,,,,,,
10827,,,68,-101.0684,92.0964,,,,,,,,,,
10905,,,78,-105.2943,91.9884,,,,,,,,,,
10966,,,61,-101.8406,91.9599,,,,,,,,,,
11000,,,,,,0.4568,0.3345,0.154,-1.9677,0.5845,0.0111,-0.3105,1.2056,34.8142,0.6286
11020,,,54,-103.6713,91.9285,,,,,,,,,,
11079,,,59,-101.4544,92.0688,,,,,,,,,,
11160,,,81,-104.7899,92.0155,,,,,,,,,,
11220,,,60,-100.4815,91.9178,,,,,,,,,,
11286,,,66,-102.2045,91.9002,,,,,,,,,,
11356,,,70,-104.4391,91.8685,,,,,,,,,,
11436,,,80,-106.8553,90.1679,,,,,,,,,,
11500,,,,,,0.4632,0.3355,0.1496,-0.3935,2.8694,0.0127,-0.2994,1.0426,23.2052,0.3131
11551,,,115,-103.138,88.01,,,,,,,,,,
11618,,,67,-101.9068,87.269,,,,,,,,,,
11715,,,97,-105.7215,87.639,,,,,,,,,,
11789,,,74,-101.0725,87.6311,,,,,,,,,,
11854,,,65,-104.9914,87.564,,,,,,,,,,
11924,,,70,-102.4526,87.687,,,,,,,,,,
11981,,,57,-101.7929,87.3676,,,,,,,,,,
12000,,,,,,0.4573,0.3345,0.1983,-3.2931,0.5157,0.0192,-0.3078,1.4203,44.7378,0.4573
12049,,,68,-102.1503,87.7802,,,,,,,,,,
12137,,,88,-106.722,87.5717,,,,,,,,,,
12221,,,84,-108.5532,87.3598,,,,,,,,,,
12281,,,60,-102.1929,88.0313,,,,,,,,,,
12350,,,69,-103.9133,87.9563,,,,,,,,,,
12419,,,69,-103.5478,88.2082,,,,,,,,,,
12482,,,63,-103.3127,87.8401,,,,,,,,,,
12500,,,,,,0.4556,0.3346,0.1561,-1.5085,1.3465,0.0126,-0.3071,1.1327,27.8693,0.802
12547,,,65,-104.6689,87.9117,,,,,,,,,,
12623,,,76,-104.0386,88.235,,,,,,,,,,
12689,,,66,-103.2675,87.8576,,,,,,,,,,
12767,,,78,-104.3087,88.1428,,,,,,,,,,
12848,,,81,-102.857,87.9954,,,,,,,,,,
12907,,,59,-106.048,87.9293,,,,,,,,,,
12968,,,61,-103.6187,87.8901,,,,,,,,,,
13000,,,,,,0.467,0.3355,0.1664,-1.0345,0.9754,0.0133,-0.3324,0.9188,29.0326,0.5812
13039,,,71,-104.6845,87.9487,,,,,,,,,,
13099,,,60,-104.3187,87.8988,,,,,,,,,,
13195,,,96,-109.8955,87.5533,,,,,,,,,,
13272,,,77,-105.6785,88.0491,,,,,,,,,,
13325,,,53,-106.6686,88.174,,,,,,,,,,
13392,,,67,-103.0746,87.7566,,,,,,,,,,
13470,,,78,-106.1888,87.4244,,,,,,,,,,
13500,,,,,,0.4706,0.3365,0.1637,0.6016,1.1889,0.0132,-0.3094,0.7022,22.7004,0.8224
13536,,,66,-104.4666,87.9403,,,,,,,,,,
13644,,,108,-112.5766,87.9682,,,,,,,,,,
13717,,,73,-105.4064,87.9665,,,,,,,,,,
13792,,,75,-111.5228,88.1151,,,,,,,,,,
13855,,,63,-107.042,87.8078,,,,,,,,,,
13916,,,61,-105.866,87.7524,,,,,,,,,,
13987,,,71,-106.5726,87.9375,,,,,,,,,,
14000,,,,,,0.4774,0.3352,0.1573,0.1284,0.5221,0.0135,-0.3076,1.5047,46.3141,1.8902
14048,,,61,-104.5101,87.8201,,,,,,,,,,
14123,,,75,-105.8842,88.0927,,,,,,,,,,
14210,,,87,-106.0262,87.9076,,,,,,,,,,
14287,,,77,-108.5721,88.0207,,,,,,,,,,
14357,,,70,-104.4027,90.2178,,,,,,,,,,
14413,,,56,-103.8454,91.7314,,,,,,,,,,
14482,,,69,-106.6606,91.6083,,,,,,,,,,
14500,,,,,,0.4798,0.3359,0.1863,2.3728,0.6288,0.0138,-0.3465,1.4892,37.0969,0.5869
14545,,,63,-108.1028,91.4544,,,,,,,,,,
14620,,,75,-105.623,91.6931,,,,,,,,,,
14686,,,66,-105.9097,91.5374,,,,,,,,,,
14764,,,78,-108.4563,90.7935,,,,,,,,,,
14841,,,77,-102.4826,91.7505,,,,,,,,,,
14901,,,60,-104.6175,91.3561,,,,,,,,,,
14968,,,67,-103.4612,91.6518,,,,,,,,,,
15000,,,,,,0.4879,0.3352,0.1649,1.2004,0.7493,0.0136,-0.3133,1.0643,39.9425,1.1724
15000,-101.7488,66.9,,,,,,,,,,,,,
15030,,,62,-102.6278,72.3169,,,,,,,,,,
15118,,,88,-102.2871,87.8727,,,,,,,,,,
15238,,,120,-103.9826,87.8113,,,,,,,,,,
15309,,,71,-107.8048,87.5662,,,,,,,,,,
15371,,,62,-104.801,87.6612,,,,,,,,,,
15450,,,79,-99.6594,87.9078,,,,,,,,,,
15500,,,,,,0.4902,0.3346,0.2334,1.4952,0.9741,0.0184,-0.3915,1.8283,73.2546,1.0876
15533,,,83,-108.258,87.9218,,,,,,,,,,
15593,,,60,-101.728,90.5226,,,,,,,,,,
15669,,,76,-108.2136,91.5482,,,,,,,,,,
15744,,,75,-101.0489,91.4721,,,,,,,,,,
15819,,,75,-102.0378,91.4999,,,,,,,,,,
15896,,,77,-102.1406,91.5606,,,,,,,,,,
15975,,,79,-99.6548,90.2803,,,,,,,,,,
16000,,,,,,0.4925,0.3362,0.1863,3.8492,0.7661,0.011,-0.3576,2.9968,173.377,1.3321
16050,,,75,-110.3103,87.8602,,,,,,,,,,
16133,,,83,-104.4937,87.8845,,,,,,,,,,
16249,,,116,-102.8414,88.7409,,,,,,,,,,
16329,,,80,-103.7031,88.502,,,,,,,,,,
16399,,,70,-102.1698,90.0085,,,,,,,,,,
16484,,,85,-101.6537,89.1718,,,,,,,,,,
16500,,,,,,0.499,0.3366,0.1853,5.3788,1.3418,0.0128,-0.3471,3.427,63.1434,1.6387
16598,,,114,-101.1594,87.937,,,,,,,,,,
16665,,,67,-103.727,87.9149,,,,,,,,,,
