env_steps,return,length,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.6042,1000.0,,,,,,,,,,
500,,,22.5301,22.7089,89.3589,22.5301,0.2073,0.8964,0.2493,,,
1000,,,20.4844,20.0421,133.0319,20.4844,0.3383,1.4893,0.2907,,,
1000,,,,,,,,,,1000,-298.5621,78.7404
1500,,,17.326,16.2826,111.6746,17.326,0.4445,3.5964,0.3712,,,
2000,,,15.9422,13.7809,155.202,15.9422,0.5739,7.1458,0.2246,,,
2000,,,,,,,,,,1000,-335.533,108.544
2500,,,14.8951,11.7437,136.5466,14.8951,0.7728,12.5498,0.5513,,,
3000,,,14.7773,10.5761,134.5376,14.7773,0.8443,14.7034,0.7367,,,
3000,,,,,,,,,,1000,-384.1471,109.3321
3500,,,14.7061,8.4499,124.1813,14.7061,1.2001,20.2225,0.8996,,,
4000,,,13.861,6.108,110.1735,13.861,1.2965,23.625,0.9583,,,
4000,,,,,,,,,,1000,-260.4854,108.0692
4500,,,12.9696,4.7056,101.5315,12.9696,1.6607,49.0216,0.8686,,,
5000,,,11.7045,2.1569,118.6907,11.7045,1.746,23.8341,1.3526,,,
5000,-99.9706,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-249.0692,91.8824
5500,,,13.0885,1.9563,95.0992,13.0885,1.5135,23.8103,3.1265,,,
6000,,,12.2927,0.2835,101.2369,12.2927,1.7865,35.6581,2.2938,,,
6000,,,,,,,,,,1000,-262.368,109.4824
6500,,,11.002,-2.34,106.2592,11.002,1.6849,25.2668,1.5146,,,
7000,,,11.9904,-1.707,132.2147,11.9904,1.463,35.728,2.2871,,,
7000,,,,,,,,,,1000,-88.2296,108.0994
7500,,,10.5166,-5.3893,131.3216,10.5166,1.827,31.8011,2.5513,,,
8000,,,11.3471,-8.188,128.3399,11.3471,1.9185,31.8635,3.2268,,,
8000,,,,,,,,,,1000,152.0708,108.0476
8500,,,11.0152,-10.8686,100.6537,11.0152,2.0004,62.0873,2.1121,,,
9000,,,10.6024,-14.222,110.661,10.6024,2.6889,33.5784,1.8478,,,
9000,,,,,,,,,,1000,540.8004,110.6004
9500,,,10.1943,-18.8752,111.9106,10.1943,2.3904,36.3298,1.4056,,,
10000,,,10.1737,-22.4709,127.9347,10.1737,2.3263,42.2327,1.4327,,,
10000,1902.571,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,639.4049,94.1721
10500,,,11.2688,-26.1778,112.2896,11.2688,2.5406,42.0676,1.474,,,
11000,,,10.8105,-30.8312,131.2341,10.8105,2.6869,54.2764,2.2651,,,
11000,,,,,,,,,,1000,747.8808,109.2126
11500,,,10.4565,-36.4715,108.8268,10.4565,2.8508,68.0028,1.7208,,,
