env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-22.7988,1000.0,,,,,,,,,,,,,
500,,,1.4105,0.7487,0.1727,0.7679,2.5487,0.638,-0.1757,0.3068,0.6823,0.265,,,
1000,,,1.3169,0.7274,0.2227,0.3399,3.2815,0.466,-0.1992,0.5981,1.2173,0.1819,,,
1000,,,,,,,,,,,,,1000,-275.9934,27.0637
1500,,,1.3338,0.7548,0.2652,0.2432,3.6675,0.4429,-0.2498,0.7701,2.3019,0.4566,,,
2000,,,1.3895,0.7019,0.2993,-0.1129,3.4262,0.4835,-0.2802,0.8816,1.5628,0.1665,,,
2000,,,,,,,,,,,,,1000,-347.5556,33.853
2500,,,1.431,0.7516,0.3179,-0.4122,5.1533,0.4842,-0.2888,0.9953,1.1019,0.379,,,
3000,,,1.4489,0.7189,0.3399,-0.7244,4.9264,0.4582,-0.3218,1.0953,2.3226,0.4559,,,
3000,,,,,,,,,,,,,1000,-378.769,33.7288
3500,,,1.4738,0.7592,0.3425,-1.0885,4.5121,0.4963,-0.3312,1.0377,2.5796,0.5655,,,
4000,,,1.5395,0.7355,0.3792,-1.1546,7.5681,0.5309,-0.3482,1.195,1.5178,0.7389,,,
4000,,,,,,,,,,,,,1000,-362.6858,33.9053
4500,,,1.5361,0.7092,0.3887,-1.4133,5.2123,0.5267,-0.3665,1.4625,4.4689,0.2283,,,
5000,,,1.5436,0.7322,0.3922,-1.6316,5.9424,0.5155,-0.375,1.4419,2.2119,0.6898,,,
5000,-97.2799,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-306.0075,31.441
5500,,,1.5712,0.7609,0.4098,-2.1358,5.2063,0.5233,-0.4013,1.3703,2.6639,0.449,,,
6000,,,1.5919,0.7044,0.4053,-2.3827,5.9476,0.5876,-0.3914,1.2609,2.656,0.4784,,,
6000,,,,,,,,,,,,,1000,-288.6037,33.7267
6500,,,1.6019,0.7229,0.4107,-2.7817,5.0949,0.5939,-0.4143,1.4574,4.5026,0.5427,,,
7000,,,1.5828,0.7019,0.4341,-2.8425,6.4754,0.5613,-0.4007,1.1953,6.4502,0.8091,,,
7000,,,,,,,,,,,,,1000,-277.7944,33.6359
7500,,,1.5758,0.7324,0.4187,-3.6639,5.3697,0.557,-0.4015,1.0273,2.6215,1.0276,,,
8000,,,1.6145,0.7428,0.4288,-4.3976,6.0922,0.5964,-0.416,0.9494,2.3172,0.9284,,,
8000,,,,,,,,,,,,,1000,-350.1413,33.7726
8500,,,1.537,0.7553,0.4106,-3.7149,4.1278,0.5388,-0.4053,1.1624,4.6643,0.8705,,,
9000,,,1.5985,0.7272,0.4264,-4.1855,5.7701,0.543,-0.4061,0.9289,3.2801,0.885,,,
9000,,,,,,,,,,,,,1000,-225.7501,33.5953
9500,,,1.5915,0.6808,0.4183,-5.2571,5.7304,0.6077,-0.4174,1.435,8.6697,0.7656,,,
10000,,,1.5886,0.7314,0.4301,-5.3877,4.6052,0.5379,-0.4354,1.0848,4.6705,0.9895,,,
10000,247.9959,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-197.3633,31.5256
10500,,,1.6272,0.7449,0.4514,-6.6617,5.7683,0.5855,-0.4468,0.9737,2.6699,1.2419,,,
11000,,,1.6155,0.7395,0.4554,-6.4604,5.232,0.5712,-0.4546,1.3246,9.9765,1.189,,,
11000,,,,,,,,,,,,,1000,-62.247,33.8264
11500,,,1.6698,0.7372,0.4718,-7.5235,5.8725,0.6306,-0.4622,1.0189,3.1658,1.1366,,,
12000,,,1.5941,0.7093,0.4427,-6.949,5.288,0.5446,-0.4369,1.1627,4.0448,1.0582,,,
12000,,,,,,,,,,,,,1000,-36.875,33.7097
12500,,,1.6727,0.7233,0.468,-8.4526,5.0487,0.6212,-0.4518,1.1744,2.8677,0.9449,,,
13000,,,1.6624,0.6974,0.4684,-7.8971,5.3312,0.6296,-0.4563,1.2174,6.9697,1.1707,,,
13000,,,,,,,,,,,,,1000,-130.1904,33.7178
