env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,176.8021,36.1,,,,,,,,,,,,,
36,,,36,174.6468,4.222,,,,,,,,,,
59,,,23,100.8257,44.8864,,,,,,,,,,
75,,,16,76.468,46.4354,,,,,,,,,,
90,,,15,71.3604,46.4665,,,,,,,,,,
105,,,15,71.3814,46.4181,,,,,,,,,,
122,,,17,83.6504,46.7249,,,,,,,,,,
137,,,15,71.4248,46.718,,,,,,,,,,
153,,,16,76.1,46.7738,,,,,,,,,,
169,,,16,76.3947,46.7026,,,,,,,,,,
184,,,15,71.3971,46.6326,,,,,,,,,,
199,,,15,71.2965,46.6996,,,,,,,,,,
213,,,14,66.4008,46.5843,,,,,,,,,,
228,,,15,71.5106,46.5325,,,,,,,,,,
242,,,14,66.7027,46.263,,,,,,,,,,
256,,,14,66.8983,46.2654,,,,,,,,,,
270,,,14,66.7893,45.8248,,,,,,,,,,
285,,,15,71.8455,44.7796,,,,,,,,,,
300,,,15,71.6401,45.5397,,,,,,,,,,
314,,,14,66.6222,46.9071,,,,,,,,,,
329,,,15,71.6474,46.7406,,,,,,,,,,
344,,,15,71.7045,46.7321,,,,,,,,,,
360,,,16,76.5051,46.6043,,,,,,,,,,
376,,,16,76.4638,46.5947,,,,,,,,,,
392,,,16,76.1799,46.8786,,,,,,,,,,
407,,,15,71.3682,46.6105,,,,,,,,,,
422,,,15,71.4868,46.653,,,,,,,,,,
438,,,16,76.0708,46.8617,,,,,,,,,,
466,,,28,141.7251,46.3989,,,,,,,,,,
500,,,,,,2.2826,0.2288,0.4969,-13.198,33.7579,2.6478,-0.4842,2.7511,16.9102,2.1189
508,,,42,208.7093,45.3982,,,,,,,,,,
525,,,17,81.2305,45.019,,,,,,,,,,
543,,,18,88.0928,44.864,,,,,,,,,,
571,,,28,133.8469,46.2584,,,,,,,,,,
591,,,20,98.3535,45.1195,,,,,,,,,,
608,,,17,81.9926,44.3872,,,,,,,,,,
626,,,18,88.5052,46.2707,,,,,,,,,,
641,,,15,71.5286,46.812,,,,,,,,,,
659,,,18,87.1999,45.525,,,,,,,,,,
679,,,20,98.3944,46.6838,,,,,,,,,,
697,,,18,88.4376,46.9295,,,,,,,,,,
717,,,20,100.7337,45.5367,,,,,,,,,,
733,,,16,76.5944,46.6387,,,,,,,,,,
758,,,25,124.4352,46.7187,,,,,,,,,,
778,,,20,98.7661,46.8585,,,,,,,,,,
799,,,21,104.3806,46.4997,,,,,,,,,,
818,,,19,93.3117,45.9447,,,,,,,,,,
849,,,31,156.3681,45.0775,,,,,,,,,,
865,,,16,76.4335,45.7305,,,,,,,,,,
882,,,17,81.1566,45.0932,,,,,,,,,,
899,,,17,81.0404,44.4942,,,,,,,,,,
915,,,16,76.5379,43.7182,,,,,,,,,,
932,,,17,81.3159,45.1191,,,,,,,,,,
957,,,25,121.2397,46.4469,,,,,,,,,,
974,,,17,82.0365,46.6568,,,,,,,,,,
991,,,17,81.3798,45.9942,,,,,,,,,,
1000,,,,,,1.6659,0.217,0.2187,-27.0026,22.391,1.6851,-0.1479,6.5884,39.3891,0.7653
1020,,,29,151.4513,45.6905,,,,,,,,,,
1039,,,19,91.4345,45.1275,,,,,,,,,,
1057,,,18,86.7823,46.2208,,,,,,,,,,
1080,,,23,111.0106,45.7297,,,,,,,,,,
1097,,,17,81.2902,45.074,,,,,,,,,,
1126,,,29,144.7199,45.5253,,,,,,,,,,
1144,,,18,87.392,44.781,,,,,,,,,,
1180,,,36,178.8146,45.0096,,,,,,,,,,
1211,,,31,145.9694,46.2675,,,,,,,,,,
1231,,,20,100.6963,45.113,,,,,,,,,,
1257,,,26,127.9081,46.7307,,,,,,,,,,
1274,,,17,82.626,46.7322,,,,,,,,,,
1303,,,29,138.8822,46.6415,,,,,,,,,,
1319,,,16,76.5778,46.7553,,,,,,,,,,
1336,,,17,81.3899,46.5989,,,,,,,,,,
1353,,,17,81.4739,46.669,,,,,,,,,,
1372,,,19,94.0528,46.7601,,,,,,,,,,
