env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,6.3142,26.9,,,,,,,,,,
32,,,32,4.8902,7.3916,,,,,,,
123,,,91,-29.6757,100.3713,,,,,,,
245,,,122,28.1832,101.3146,,,,,,,
317,,,72,-20.624,101.2863,,,,,,,
395,,,78,-12.9414,101.3288,,,,,,,
475,,,80,-29.8309,101.4318,,,,,,,
500,,,,,,10.9635,9.0278,166.9342,10.9635,0.1361,2.6692,0.0159
558,,,83,-36.1392,101.3111,,,,,,,
634,,,76,-24.1648,101.1372,,,,,,,
706,,,72,-17.1533,101.5624,,,,,,,
779,,,73,-26.9312,101.4188,,,,,,,
849,,,70,-13.4126,101.7948,,,,,,,
923,,,74,-17.5692,101.8096,,,,,,,
990,,,67,-9.4254,101.4784,,,,,,,
1000,,,,,,5.8019,2.4148,58.2737,5.8019,0.2199,4.1299,0.028
1062,,,72,-29.3726,101.5237,,,,,,,
1138,,,76,-27.6255,101.4051,,,,,,,
1206,,,68,-17.0131,101.8352,,,,,,,
1292,,,86,-39.8899,101.6849,,,,,,,
1363,,,71,-17.0566,101.3615,,,,,,,
1500,,,,,,4.231,-1.9961,62.9748,4.231,0.4307,3.67,0.1359
1738,,,375,523.8268,103.8822,,,,,,,
1920,,,182,317.9956,101.7625,,,,,,,
2000,,,,,,3.6953,-5.6148,55.4721,3.6953,0.4731,5.7907,0.1752
2278,,,358,236.6981,101.8012,,,,,,,
2500,,,,,,3.2293,-9.2713,62.9474,3.2293,0.7322,3.555,0.148
2863,,,585,722.6941,101.6082,,,,,,,
3000,,,,,,2.6773,-12.7101,109.3739,2.6773,0.6589,3.879,0.2477
3125,,,262,407.7168,101.7428,,,,,,,
3500,,,,,,1.836,-17.1922,87.252,1.836,1.0314,9.4243,0.2601
3518,,,393,544.5366,101.3256,,,,,,,
3704,,,186,323.2456,101.4883,,,,,,,
3925,,,221,371.8431,101.0186,,,,,,,
4000,,,,,,1.5442,-20.9449,100.6792,1.5442,1.818,11.0958,0.4487
4060,,,135,256.8808,101.6515,,,,,,,
4212,,,152,297.8655,102.9684,,,,,,,
4494,,,282,426.8562,101.3789,,,,,,,
4500,,,,,,1.3064,-25.5926,110.7958,1.3064,1.8523,21.7604,0.6019
4662,,,168,312.4633,101.4512,,,,,,,
4731,,,69,68.4237,101.4322,,,,,,,
4922,,,191,343.9899,101.473,,,,,,,
5000,,,,,,1.0507,-29.4516,82.1211,1.0507,2.024,48.8777,0.5896
5000,352.6658,217.1,,,,,,,,,,
5040,,,118,226.6173,59.654,,,,,,,
5149,,,109,167.0152,101.14,,,,,,,
5288,,,139,236.6101,101.2948,,,,,,,
5500,,,,,,1.1118,-34.109,77.6628,1.1118,3.1407,100.72,0.9169
5571,,,283,304.043,102.6086,,,,,,,
5844,,,273,404.6886,101.4598,,,,,,,
6000,,,,,,1.0127,-37.9872,88.6268,1.0127,3.0651,47.1204,0.5665
6035,,,191,275.684,101.696,,,,,,,
6244,,,209,265.8376,101.6715,,,,,,,
6466,,,222,305.2328,101.7543,,,,,,,
6500,,,,,,0.7185,-41.8259,86.3406,0.7185,3.011,75.354,0.7041
6629,,,163,263.489,101.0498,,,,,,,
6847,,,218,193.1406,101.36,,,,,,,
6966,,,119,201.1498,101.7794,,,,,,,
7000,,,,,,1.03,-46.6539,77.9663,1.03,4.8526,108.9509,0.8606
7060,,,94,68.9046,101.4013,,,,,,,
7179,,,119,213.9824,101.3572,,,,,,,
7315,,,136,251.6056,101.5779,,,,,,,
7500,,,,,,0.6539,-50.451,142.9102,0.6539,3.6696,130.4095,1.1998
7588,,,273,159.8704,101.7874,,,,,,,
7871,,,283,183.1721,101.0425,,,,,,,
7959,,,88,131.4949,101.5158,,,,,,,
7969,,,10,-2.0336,101.8366,,,,,,,
7979,,,10,-4.9041,101.6276,,,,,,,
8000,,,,,,0.6206,-53.9106,64.7496,0.6206,5.2278,56.6053,1.6829
8255,,,276,244.5935,101.5794,,,,,,,
8415,,,160,225.3748,99.72,,,,,,,
8500,,,,,,0.8266,-56.5989,92.6126,0.8266,5.8781,133.913,1.8047
8706,,,291,94.3515,101.5563,,,,,,,
9000,,,,,,0.9791,-60.4008,105.4761,0.9791,5.8208,139.744,1.518
9015,,,309,395.7556,101.754,,,,,,,
9070,,,55,28.1023,101.8689,,,,,,,
9297,,,227,329.9974,101.6826,,,,,,,
9500,,,,,,0.7458,-64.0959,94.2196,0.7458,8.3578,147.2196,2.1295
9544,,,247,353.128,101.673,,,,,,,
9556,,,12,-1.1856,101.4598,,,,,,,
9604,,,48,34.0469,101.6762,,,,,,,
9714,,,110,182.1955,101.4667,,,,,,,
9723,,,9,-2.7209,102.2757,,,,,,,
9734,,,11,0.0063,101.7748,,,,,,,
9917,,,183,304.5914,101.5815,,,,,,,
10000,,,,,,0.2008,-67.3424,101.474,0.2008,6.4523,170.1727,2.0465
10000,258.6337,165.4,,,,,,,,,,
10180,,,263,314.1626,87.1226,,,,,,,
10275,,,95,116.8341,101.5679,,,,,,,
10419,,,144,31.6516,101.6929,,,,,,,
10500,,,,,,0.3474,-69.6442,90.7259,0.3474,7.9629,229.0286,2.2526
10576,,,157,0.7232,101.7677,,,,,,,
10611,,,35,4.5288,102.9803,,,,,,,
10710,,,99,142.2989,105.5556,,,,,,,
10802,,,92,127.8651,105.6596,,,,,,,
10947,,,145,172.0084,105.6093,,,,,,,
11000,,,,,,0.2216,-73.1454,72.1949,0.2216,8.0627,202.8321,1.9368
11062,,,115,202.4176,105.5679,,,,,,,
11075,,,13,0.4678,105.5116,,,,,,,
11228,,,153,260.6486,105.4797,,,,,,,
11409,,,181,263.1417,105.5185,,,,,,,
11466,,,57,22.1985,105.2812,,,,,,,
11500,,,,,,-0.0164,-75.0996,122.6579,-0.0164,8.2041,262.3535,2.5544
11575,,,109,132.8338,101.7482,,,,,,,
11797,,,222,335.3049,101.2665,,,,,,,
11955,,,158,176.1388,101.1842,,,,,,,
