env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,17.2915,35.0,,,,,,,,,,,,
55,,,55,22.168,7.9601,,,,,,,,,
167,,,112,-33.1471,100.0046,,,,,,,,,
264,,,97,-45.1284,99.7644,,,,,,,,,
352,,,88,-12.5652,99.8838,,,,,,,,,
484,,,132,6.9443,96.4323,,,,,,,,,
500,,,,,,1.3096,0.6746,0.1058,-0.8403,2.8076,0.4365,0.1944,0.4695,0.0603
659,,,175,287.8798,93.8629,,,,,,,,,
889,,,230,77.406,93.9003,,,,,,,,,
1000,,,,,,1.3494,0.7445,0.0767,-3.6266,3.817,0.4153,0.7159,6.9592,0.1041
1047,,,158,240.4721,93.9282,,,,,,,,,
1254,,,207,286.3152,93.6514,,,,,,,,,
1500,,,,,,1.4748,0.8106,0.0876,-7.5606,6.398,0.4856,1.5054,2.9877,0.1582
1727,,,473,508.1791,93.2521,,,,,,,,,
1912,,,185,105.0652,93.84,,,,,,,,,
2000,,,,,,1.5673,0.8868,0.1052,-12.235,6.5079,0.5364,1.9585,10.4367,0.171
2144,,,232,390.9763,93.9349,,,,,,,,,
2288,,,144,235.9965,93.7797,,,,,,,,,
2475,,,187,284.4528,93.9808,,,,,,,,,
2500,,,,,,1.6169,0.897,0.1227,-17.414,5.8584,0.6328,2.8434,8.7088,0.2321
2629,,,154,54.0531,93.9966,,,,,,,,,
2785,,,156,285.5398,93.3225,,,,,,,,,
2989,,,204,277.6266,94.2262,,,,,,,,,
3000,,,,,,1.7627,0.9628,0.1435,-22.3764,8.626,0.7705,4.465,21.8015,0.3497
3071,,,82,41.8759,92.9788,,,,,,,,,
3161,,,90,53.5029,92.1626,,,,,,,,,
3314,,,153,75.1403,93.917,,,,,,,,,
3495,,,181,310.9862,93.8056,,,,,,,,,
3500,,,,,,1.7198,0.9915,0.143,-27.7471,6.3252,0.7127,5.5773,16.4001,0.3633
4000,,,,,,1.7232,0.9961,0.1479,-31.4656,7.1468,0.7385,9.6349,13.02,0.6092
4358,,,863,817.1583,93.5307,,,,,,,,,
4500,,,,,,1.6549,0.9845,0.1417,-36.6296,5.981,0.7084,11.375,27.887,0.5904
4673,,,315,396.964,93.8252,,,,,,,,,
4949,,,276,200.0724,93.6515,,,,,,,,,
5000,,,,,,1.7167,0.9988,0.1493,-40.4784,7.7719,0.8047,14.7287,20.6394,0.8842
5000,504.8075,549.1,,,,,,,,,,,,
5113,,,164,86.574,46.6517,,,,,,,,,
5248,,,135,220.3113,93.3529,,,,,,,,,
5449,,,201,302.7121,93.1304,,,,,,,,,
5500,,,,,,1.8575,1.0908,0.1599,-44.1918,8.5834,0.9569,28.2037,39.6678,1.0485
5506,,,57,24.5124,93.6794,,,,,,,,,
5686,,,180,113.4359,93.7051,,,,,,,,,
5745,,,59,-12.6441,93.5633,,,,,,,,,
5782,,,37,10.6915,90.595,,,,,,,,,
5824,,,42,4.8198,92.747,,,,,,,,,
5917,,,93,-12.6571,93.3719,,,,,,,,,
5991,,,74,35.2721,93.6805,,,,,,,,,
6000,,,,,,1.7615,1.0357,0.1527,-49.3929,12.3197,0.7892,17.8963,55.2765,2.2348
6042,,,51,14.6822,92.7751,,,,,,,,,
6115,,,73,-10.4618,93.6247,,,,,,,,,
6145,,,30,-0.3066,93.8602,,,,,,,,,
6192,,,47,24.2154,93.6108,,,,,,,,,
6239,,,47,10.6388,93.5726,,,,,,,,,
6280,,,41,-6.378,91.8871,,,,,,,,,
6324,,,44,16.945,93.5166,,,,,,,,,
6385,,,61,-0.7882,93.5524,,,,,,,,,
6443,,,58,9.156,93.2858,,,,,,,,,
6500,,,,,,1.7157,1.0115,0.1473,-53.4447,10.6638,0.7524,21.2954,77.7231,1.9854
6582,,,139,111.0532,97.8166,,,,,,,,,
6672,,,90,25.5139,95.7499,,,,,,,,,
6708,,,36,21.8255,93.7089,,,,,,,,,
6763,,,55,14.587,97.3899,,,,,,,,,
6958,,,195,277.3811,99.3046,,,,,,,,,
7000,,,,,,1.8069,1.0363,0.1576,-56.7388,10.2149,0.8298,22.0837,53.0486,1.8702
7052,,,94,118.0786,93.7177,,,,,,,,,
7090,,,38,17.3442,92.6111,,,,,,,,,
7159,,,69,28.8957,93.2116,,,,,,,,,
7194,,,35,7.4501,93.2808,,,,,,,,,
7302,,,108,176.8874,93.3449,,,,,,,,,
7450,,,148,222.3598,93.517,,,,,,,,,
7500,,,,,,1.8977,1.0195,0.1624,-59.959,12.4855,0.9087,32.8535,48.8124,2.0392
7517,,,67,28.638,93.2864,,,,,,,,,
7559,,,42,14.9153,93.2372,,,,,,,,,
7687,,,128,186.6802,93.9946,,,,,,,,,
7832,,,145,258.7571,99.1062,,,,,,,,,
8000,,,,,,1.8273,0.9857,0.1618,-65.7518,9.0891,0.9078,45.2604,161.7291,1.2581
8102,,,270,396.7895,93.4909,,,,,,,,,
8182,,,80,50.4731,93.4017,,,,,,,,,
8228,,,46,26.6723,93.4179,,,,,,,,,
8264,,,36,16.104,93.401,,,,,,,,,
8304,,,40,19.7847,93.4681,,,,,,,,,
8336,,,32,11.32,93.4086,,,,,,,,,
8390,,,54,14.0666,99.9056,,,,,,,,,
8500,,,,,,1.9151,1.0974,0.173,-69.5562,11.0027,0.8383,41.48,56.9991,1.5316
8510,,,120,115.7472,99.7519,,,,,,,,,
8555,,,45,31.1288,94.2645,,,,,,,,,
8615,,,60,23.9679,99.404,,,,,,,,,
8633,,,18,-6.0833,100.0328,,,,,,,,,
8642,,,9,-1.533,100.0473,,,,,,,,,
