env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,5.3122,16.3,,,,,,,,,,,,,
9,,,9,-7.2898,1.1794,,,,,,,,,,
57,,,48,22.8098,32.9209,,,,,,,,,,
234,,,177,79.7627,32.9969,,,,,,,,,,
500,,,,,,1.4214,0.7084,0.299,-1.5416,2.2823,0.4471,-0.2901,0.1642,0.676,0.0337
516,,,282,411.9594,33.0689,,,,,,,,,,
651,,,135,35.4756,33.16,,,,,,,,,,
915,,,264,318.8525,32.8875,,,,,,,,,,
1000,,,,,,1.552,0.7704,0.4302,-4.112,3.7247,0.4853,-0.4097,0.4432,1.2494,0.2051
1085,,,170,25.6911,33.0223,,,,,,,,,,
1199,,,114,31.6667,33.0707,,,,,,,,,,
1323,,,124,9.5297,32.952,,,,,,,,,,
1470,,,147,43.9648,33.1852,,,,,,,,,,
1500,,,,,,1.7213,0.8189,0.5562,-7.152,4.1425,0.5062,-0.5373,1.188,9.2039,0.2839
1703,,,233,143.958,33.0882,,,,,,,,,,
1942,,,239,96.1227,32.9371,,,,,,,,,,
2000,,,,,,1.7821,0.7902,0.5759,-10.8544,3.6042,0.5913,-0.5744,1.7181,12.0008,0.2952
2122,,,180,82.8855,33.0593,,,,,,,,,,
2330,,,208,61.0177,32.916,,,,,,,,,,
2479,,,149,252.3456,33.133,,,,,,,,,,
2500,,,,,,1.9174,0.8188,0.5994,-15.1176,5.4838,0.6467,-0.5809,2.029,9.4975,0.206
2897,,,418,522.9056,33.0551,,,,,,,,,,
3000,,,,,,2.0396,0.8732,0.7169,-19.8188,7.0763,0.6869,-0.7196,3.6751,19.2519,0.3549
3096,,,199,123.8426,33.2467,,,,,,,,,,
3500,,,,,,1.9684,0.8351,0.6848,-23.9613,5.8173,0.6276,-0.6739,4.557,9.791,0.385
3540,,,444,386.0817,32.9576,,,,,,,,,,
3901,,,361,398.9631,33.024,,,,,,,,,,
4000,,,,,,2.0618,0.8981,0.6885,-27.7885,5.8326,0.7263,-0.6696,4.6164,8.1032,0.5508
4037,,,136,191.7553,32.906,,,,,,,,,,
4145,,,108,99.0658,32.9859,,,,,,,,,,
4181,,,36,17.6051,32.9494,,,,,,,,,,
4202,,,21,9.3104,32.9388,,,,,,,,,,
4431,,,229,157.2109,32.9782,,,,,,,,,,
4500,,,,,,2.0673,0.9062,0.6841,-32.2694,6.5088,0.6622,-0.6918,6.4044,9.4183,0.859
4503,,,72,12.0152,32.8482,,,,,,,,,,
4520,,,17,3.1926,32.9267,,,,,,,,,,
4581,,,61,15.4159,32.9336,,,,,,,,,,
4725,,,144,47.5625,33.0512,,,,,,,,,,
4872,,,147,142.537,33.0822,,,,,,,,,,
5000,,,,,,2.118,0.9171,0.7394,-36.1515,8.0657,0.681,-0.7353,10.2652,19.6487,1.0783
